"Season","Team","G","AB","PA","AVG","ISO","WAR","Spd","Def"
"1998","Blue Jays","1875","5580","6323",".266",".182","22.1","4.9","-13.7"
"1948","Cardinals","1935","5301","5989",".263",".126","17.7","4.0","25.2"
"1951","White Sox","1893","5373","6120",".270",".114","24.1","5.0","50.8"
"2008","Tigers","2267","5641","6331",".271",".173","18.0","4.4","-78.7"
"1994","Astros","1504","3955","4500",".278",".167","26.2","5.5","58.4"
"1945","Giants","1811","5350","5991",".269",".110","20.2","3.5","21.4"
"1934","Pirates","1710","5361","5878",".287",".110","18.1","4.7","5.5"
"1965","Reds","1979","5654","6351",".273",".166","33.2","5.1","12.0"
"1923","Phillies","1783","5491","6054",".278",".123","0.7","4.2","-37.4"
"1956","Redlegs","2027","5288","5999",".266",".175","23.8","3.9","42.7"
"1950","Pirates","1979","5327","5976",".264",".142","13.8","4.3","24.4"
"1999","Royals","1865","5624","6325",".282",".151","19.0","5.6","16.7"
"1999","Brewers","2281","5582","6433",".273",".153","18.0","4.3","11.0"
"1924","Pirates","1606","5285","5830",".287",".113","25.8","6.8","106.8"
"1954","Indians","1918","5215","6040",".262",".141","30.8","3.6","71.4"
"1995","Reds","2042","4903","5575",".270",".169","28.3","5.7","63.3"
"1934","Red Sox","1703","5338","6044",".274",".109","10.8","5.7","6.3"
"1937","Athletics","1762","5228","5886",".267",".130","10.3","5.2","25.9"
"1991","Rangers","1981","5703","6441",".270",".154","25.1","4.5","-62.2"
"2002","White Sox","2208","5502","6208",".268",".181","22.5","4.5","-26.9"
"1961","Tigers","2022","5550","6366",".266",".155","31.5","5.1","96.8"
"1987","Red Sox","1657","5586","6359",".278",".152","21.3","4.0","-32.8"
"2008","Cardinals","2396","5636","6370",".281",".152","32.4","4.1","72.3"
"2003","Rockies","2352","5518","6283",".267",".179","16.5","4.2","39.6"
"1948","Browns","1907","5265","5969",".272",".107","8.1","4.6","-14.8"
"1936","Phillies","1816","5464","6039",".281",".119","6.0","4.1","-24.2"
"1970","Reds","2071","5540","6222",".270",".165","36.0","4.8","66.8"
"1940","Pirates","1947","5463","6111",".277",".117","22.7","5.1","-3.1"
"1991","Twins","1903","5556","6218",".280",".139","27.4","4.6","18.4"
"1942","Cardinals","1786","5413","6115",".268",".110","30.5","5.0","53.3"
"1978","Red Sox","1600","5587","6316",".267",".157","24.5","4.3","-9.8"
"1939","Giants","1727","5129","5767",".272",".124","19.9","3.8","47.7"
"1924","Reds","1708","5301","5835",".290",".107","23.4","5.7","53.9"
"2009","Rays","2345","5462","6223",".263",".177","33.5","5.5","31.6"
"1932","Dodgers","1795","5432","5943",".283",".137","25.4","4.7","43.8"
"1940","Cardinals","1890","5499","6087",".275",".135","20.2","4.9","8.6"
"2012","Yankees","2367","5524","6231",".265",".188","29.2","4.1","-24.8"
"1925","Braves","1697","5363","5943",".292",".098","16.5","4.8","33.2"
"1921","Braves","1706","5380","5977",".290",".110","20.6","5.4","35.4"
"2006","Phillies","2410","5687","6509",".267",".180","25.9","4.9","34.6"
"1952","Cardinals","1849","5199","5844",".267",".124","27.4","3.9","61.0"
"1948","Athletics","1693","5181","6048",".260",".102","16.6","3.9","31.0"
"1926","Browns","1730","5256","5931",".276",".119","8.1","4.9","15.8"
"1926","Cubs","1712","5229","5902",".278",".112","23.1","4.6","65.8"
"1929","Browns","1649","5175","5974",".276",".105","15.0","4.9","64.7"
"2000","Reds","2313","5635","6373",".274",".173","24.3","4.8","89.9"
"1926","Athletics","1829","5037","5822",".270",".114","14.0","4.7","38.9"
"2009","Rockies","2352","5398","6241",".261",".180","19.2","5.0","21.1"
"2001","Giants","2231","5612","6408",".266",".194","30.9","4.0","46.3"
"1969","Orioles","1981","5518","6328",".265",".148","44.6","4.2","150.9"
"1941","Athletics","1694","5334","5991",".268",".119","16.1","4.0","25.9"
"1954","Red Sox","1986","5398","6206",".266",".129","21.3","3.9","42.4"
"1977","Royals","1836","5595","6268",".277",".159","29.7","6.1","10.7"
"1999","Astros","2043","5485","6403",".267",".154","27.4","4.6","71.8"
"2013","Tigers","2274","5735","6388",".283",".151","26.8","3.3","-42.9"
"1950","Giants","1835","5229","5972",".258",".134","24.1","4.2","102.7"
"1980","Tigers","1830","5648","6444",".273",".136","22.1","4.4","-43.5"
"1949","Braves","1874","5335","6138",".258",".116","20.1","3.4","9.8"
"1923","Robins","1713","5476","6082",".285",".103","15.7","5.2","-1.5"
"1937","Senators","1681","5578","6259",".279",".099","19.0","5.0","66.9"
"1926","Phillies","1825","5254","5851",".281",".108","2.5","4.4","-59.5"
"1949","Indians","1839","5221","5958",".260",".124","24.6","4.0","96.4"
"1957","Redlegs","2094","5388","6103",".269",".163","23.5","3.7","35.5"
"1934","Senators","1765","5446","6166",".278",".105","17.5","4.5","45.1"
"1985","Yankees","1708","5458","6236",".267",".158","32.5","5.2","10.0"
"1998","Giants","2301","5625","6481",".274",".147","31.3","4.5","52.7"
"1944","Yankees","1620","5324","5969",".265",".122","29.6","5.5","54.7"
"1998","White Sox","1891","5585","6281",".271",".172","23.2","5.3","-10.6"
"1935","White Sox","1634","5314","6025",".275",".107","16.4","4.1","73.0"
"2000","Tigers","1938","5644","6343",".275",".163","19.7","4.6","-15.3"
"1950","Athletics","1719","5212","5993",".261",".117","11.1","4.0","23.6"
"1955","Red Sox","1822","5273","6131",".264",".138","26.4","4.1","70.4"
"1969","Reds","2102","5629","6296",".277",".146","28.5","4.4","23.1"
"1935","Cardinals","1751","5454","5974",".284",".121","22.2","5.1","45.5"
"1931","Phillies","1763","5375","5935",".279",".120","6.3","4.3","-15.0"
"1944","Pirates","1947","5429","6099",".266",".114","20.1","5.3","1.0"
"1943","Dodgers","1797","5308","6010",".272",".085","22.8","4.0","-3.3"
"1920","Cardinals","1738","5495","6086",".289",".096","26.6","5.6","5.7"
"1918","Reds","1305","4265","4762",".278",".089","25.3","6.1","0.1"
"1970","Red Sox","1973","5535","6250",".262",".166","27.6","3.6","52.4"
"2004","Phillies","2317","5643","6456",".267",".176","26.7","4.4","50.4"
"1939","Athletics","1852","5309","5965",".271",".129","5.9","4.6","-33.9"
"1998","Cardinals","2305","5593","6413",".258",".183","28.3","4.8","47.7"
"2005","Reds","2309","5565","6321",".261",".185","23.2","3.9","-10.3"
"2006","Red Sox","2346","5619","6435",".269",".166","16.1","3.4","-43.5"
"1989","Red Sox","1702","5666","6455",".277",".125","27.4","3.8","-19.8"
"2004","White Sox","2245","5534","6197",".268",".189","23.2","4.1","19.4"
"1955","Yankees","1948","5152","5932",".260",".158","37.8","4.6","103.2"
"1945","Cardinals","1776","5487","6166",".273",".098","23.6","4.3","48.8"
"1985","Orioles","1905","5517","6212",".263",".167","25.3","3.8","-37.3"
"2007","Marlins","2423","5627","6344",".267",".181","20.7","5.0","-6.3"
"2005","Indians","2166","5609","6255",".271",".181","30.9","4.0","20.2"
"1946","Dodgers","2053","5283","6134",".260",".100","25.6","5.0","39.4"
"2010","Reds","2370","5579","6285",".272",".164","34.5","4.4","80.5"
"1944","Red Sox","1744","5400","6052",".270",".110","23.5","4.6","20.0"
"1988","Twins","1812","5510","6181",".274",".147","26.4","4.4","-5.6"
"1970","Giants","2093","5578","6469",".262",".147","22.4","4.4","-52.7"
"1995","Orioles","1566","4837","5531",".262",".166","19.9","4.4","23.8"
"1945","Braves","1798","5441","6080",".267",".107","21.1","3.9","20.6"
"2004","Giants","2405","5546","6466",".270",".168","27.5","3.8","28.4"
"1937","Giants","1692","5329","5862",".278",".125","27.7","4.2","86.5"
"1946","Tigers","1720","5317","6058",".258",".116","23.3","4.2","42.8"
"1982","Royals","1715","5629","6178",".285",".143","30.1","5.5","20.0"
"1952","Giants","1913","5227","5888",".256",".144","26.0","4.0","49.3"
"2008","White Sox","2298","5553","6231",".263",".185","15.6","3.7","-39.4"
"1936","Giants","1777","5448","6037",".281",".115","27.9","3.9","99.8"
"1946","Cardinals","1843","5352","5998",".266",".115","25.9","4.5","47.8"
"1927","White Sox","1698","5156","5910",".278",".100","16.4","4.7","50.3"
"1948","Dodgers","1963","5328","6050",".261",".120","20.7","5.0","49.1"
"1987","Blue Jays","1892","5635","6295",".269",".177","27.8","5.1","26.5"
"2000","Mets","2345","5486","6328",".263",".167","23.5","3.7","55.3"
"1918","Indians","1351","4166","4866",".260",".081","18.7","5.9","-18.0"
"1938","Cardinals","1822","5527","6038",".279",".128","18.1","4.8","13.1"
"1980","Royals","1777","5714","6357",".286",".128","30.1","5.9","6.7"
"1994","Mariners","1204","3883","4361",".269",".182","13.3","4.3","-7.1"
"1986","Indians","1714","5702","6288",".284",".146","20.5","5.3","-64.4"
"1951","Braves","1836","5291","5966",".262",".132","20.3","4.4","-5.3"
"1939","White Sox","1717","5279","6032",".275",".099","15.1","5.1","52.1"
"1954","Phillies","1709","5176","5927",".267",".128","21.1","4.0","68.3"
"1980","Orioles","1865","5585","6282",".273",".140","31.5","4.7","7.4"
"1961","Yankees","1931","5545","6222",".263",".179","37.2","3.8","111.3"
"2000","Braves","2037","5487","6273",".271",".157","24.4","5.0","83.2"
"1922","Athletics","1718","5216","5857",".270",".132","9.3","4.6","11.1"
"1982","Orioles","1851","5552","6320",".266",".153","30.6","3.6","22.6"
"2006","Braves","2435","5583","6284",".270",".184","23.7","4.0","48.1"
"2009","Phillies","2285","5578","6338",".258",".189","31.5","5.2","68.9"
"1938","White Sox","1573","5199","5806",".277",".106","9.8","4.5","40.2"
"1949","Browns","1949","5106","5841",".255",".122","-1.8","3.4","-73.3"
"1939","Senators","1656","5334","6026",".278",".101","17.7","5.4","48.7"
"1948","Pirates","1878","5284","5941",".263",".118","20.1","4.5","62.5"
"1983","Orioles","1892","5546","6273",".269",".152","28.0","4.0","-14.9"
"1977","Twins","1828","5639","6382",".282",".135","23.7","5.1","-32.0"
"1971","Orioles","1829","5303","6143",".261",".138","39.3","3.9","92.9"
"1924","Athletics","1689","5184","5764",".281",".107","7.0","4.7","9.8"
"2016","Rockies","2005","5614","6236",".275",".182","16.1","4.7","17.9"
"1954","Redlegs","1946","5231","5968",".262",".144","13.3","4.1","25.9"
"2004","Tigers","2255","5623","6285",".272",".177","21.7","4.9","-41.5"
"1979","Royals","1762","5653","6350",".282",".140","27.4","6.5","13.4"
"1935","Browns","1814","5365","6086",".270",".114","3.8","4.3","-9.4"
"1951","Indians","1777","5241","5935",".257",".133","24.1","3.7","37.6"
"1994","Expos","1576","4000","4514",".278",".158","20.6","5.7","54.2"
"1983","Tigers","1848","5591","6244",".274",".153","34.3","4.9","60.6"
"1995","Twins","1563","5006","5588",".279",".139","14.5","4.8","-16.0"
"2000","Royals","1875","5709","6394",".288",".138","17.1","4.8","33.1"
"1938","Giants","1680","5252","5838",".271",".125","23.9","3.6","67.2"
"1921","Senators","1617","5282","5982",".278",".106","14.3","5.9","23.9"
"1924","Cubs","1668","5134","5796",".276",".102","16.4","4.9","47.3"
"1986","Tigers","1729","5512","6269",".263",".161","32.8","4.8","35.5"
"1975","Phillies","2204","5590","6365",".269",".133","32.1","4.8","72.1"
"1962","Yankees","2053","5644","6393",".267",".159","32.0","3.7","74.4"
"2002","Giants","2263","5502","6304",".266",".175","35.1","4.6","72.1"
"1923","Senators","1687","5240","6050",".274",".093","18.8","5.8","45.1"
"1987","Brewers","1694","5625","6370",".276",".152","17.8","5.4","-61.3"
"1938","Pirates","1681","5409","5992",".279",".109","26.7","4.6","83.0"
"1921","White Sox","1608","5302","5974",".284",".096","10.9","5.1","30.9"
"1937","Cardinals","1740","5476","5966",".282",".124","17.2","5.3","4.7"
"1999","Braves","2204","5569","6351",".266",".170","23.8","4.7","85.4"
"1941","Cardinals","1807","5455","6150",".272",".106","26.5","4.4","81.1"
"1997","Orioles","2003","5584","6340",".268",".160","23.2","3.9","-4.3"
"1997","Braves","2208","5528","6315",".270",".156","31.8","4.7","114.3"
"2009","Twins","2315","5608","6346",".274",".155","21.1","4.7","-49.1"
"1986","Red Sox","1722","5498","6255",".271",".144","21.6","3.4","-18.6"
"1981","Red Sox","1113","3820","4281",".275",".124","17.9","3.3","-5.2"
"2003","Rangers","2311","5664","6293",".266",".188","20.2","4.6","-9.5"
"2001","Athletics","1830","5573","6385",".264",".175","28.0","4.2","0.4"
"1993","Orioles","1684","5508","6310",".267",".146","27.8","3.7","52.8"
"1959","Redlegs","1941","5284","5918",".274",".153","23.8","4.3","26.8"
"2000","Orioles","1901","5549","6238",".272",".163","15.3","4.4","-38.4"
"1927","Browns","1745","5217","5900",".276",".105","6.3","5.0","8.3"
"1969","Twins","2215","5675","6422",".268",".141","30.8","4.4","60.0"
"1951","Pirates","2047","5315","5970",".258",".139","13.0","3.8","4.7"
"1924","Phillies","1780","5306","5855",".275",".123","2.3","4.3","-14.3"
"2008","Yankees","2330","5572","6257",".271",".156","18.2","4.5","-56.3"
"1957","Braves","1880","5458","6050",".269",".173","35.1","4.5","70.6"
"1969","Red Sox","2053","5494","6294",".251",".164","23.6","3.6","36.5"
"2007","Brewers","2330","5554","6238",".262",".194","25.1","4.9","44.1"
"2006","Rangers","2227","5659","6273",".278",".168","15.9","3.9","-21.7"
"2014","Rockies","2387","5612","6164",".276",".169","19.4","4.6","25.5"
"1941","Tigers","1771","5368","6075",".263",".112","7.4","4.2","-2.7"
"1955","Indians","2046","5145","6047",".258",".136","20.3","3.2","-21.9"
"1937","Pirates","1681","5433","5996",".285",".099","22.7","4.6","56.2"
"1940","Browns","1858","5414","6049",".263",".138","10.6","4.4","14.9"
"1934","Giants","1776","5395","5933",".275",".130","26.4","3.8","94.4"
"1939","Cubs","1715","5293","5990",".266",".125","15.2","4.9","3.5"
"1994","Rockies","1604","4006","4493",".274",".165","6.2","5.1","-5.8"
"2009","Blue Jays","2202","5696","6362",".266",".174","19.1","3.8","-48.3"
"2006","Dodgers","2384","5628","6394",".276",".157","20.7","5.3","-2.6"
"2011","Tigers","2309","5563","6231",".277",".157","23.2","4.0","-30.2"
"1995","Athletics","1577","4915","5617",".264",".157","13.9","4.5","-55.6"
"1938","Reds","1656","5383","5868",".277",".129","25.9","4.0","75.4"
"1950","Cardinals","1838","5213","5915",".260",".127","15.4","3.9","46.0"
"2007","Braves","2398","5689","6374",".275",".160","27.2","4.2","80.5"
"2001","White Sox","1906","5464","6151",".268",".183","23.0","4.7","-7.1"
"1922","White Sox","1592","5263","6020",".278",".096","16.2","5.1","63.0"
"1922","Robins","1725","5412","5954",".290",".103","11.6","5.1","12.1"
"1950","Phillies","1839","5426","6051",".265",".131","20.6","4.1","66.4"
"1954","White Sox","1870","5168","5971",".267",".112","28.9","4.6","100.4"
"1992","Blue Jays","1645","5536","6224",".263",".151","29.1","5.2","13.3"
"1979","Tigers","1755","5375","6081",".269",".146","19.2","5.0","-22.4"
"1925","Reds","1722","5228","5833",".285",".102","18.5","5.3","96.6"
"1949","Pirates","1878","5214","5870",".259",".125","12.7","4.1","27.1"
"1993","Giants","2213","5541","6255",".276",".151","35.4","4.7","75.0"
"2004","Athletics","2217","5728","6459",".270",".163","20.6","3.3","-20.0"
"1992","Tigers","1671","5515","6310",".256",".151","27.4","3.4","8.0"
"2004","Orioles","2278","5736","6431",".281",".150","22.0","4.1","-25.2"
"1954","Cubs","1861","5356","5960",".264",".149","12.0","4.0","14.1"
"1956","Dodgers","1877","5090","5876",".258",".161","29.3","4.2","117.4"
"1929","Senators","1728","5235","5994",".276",".099","15.8","5.1","53.3"
"1974","Dodgers","2020","5554","6328",".272",".129","37.4","4.8","68.3"
"1996","Angels","1772","5686","6320",".276",".155","13.9","3.4","-27.8"
"2002","Athletics","2312","5558","6291",".261",".171","23.1","3.9","-42.7"
"2000","Dodgers","2056","5480","6311",".257",".174","23.7","4.4","46.3"
"1983","Yankees","1697","5631","6279",".273",".143","24.1","4.5","-57.6"
"1997","Rangers","1921","5651","6266",".274",".164","17.3","4.3","-1.2"
"1956","White Sox","1942","5286","6122",".267",".130","25.4","4.5","50.0"
"1997","Athletics","2045","5589","6369",".260",".163","12.0","3.8","-107.8"
"1997","Angels","1878","5628","6387",".272",".144","21.6","4.3","4.6"
"2004","Rangers","2240","5615","6256",".266",".191","18.4","4.4","1.3"
"2007","Mets","2335","5605","6344",".275",".157","27.7","5.4","57.5"
"1998","Cubs","2283","5649","6394",".264",".169","21.7","4.3","26.0"
"1951","Cardinals","1820","5317","6003",".264",".118","21.4","3.8","69.0"
"1934","Cubs","1689","5347","5841",".279",".122","21.8","4.3","57.0"
"1976","Phillies","2170","5528","6237",".272",".123","32.4","4.9","59.7"
"2007","Indians","2225","5604","6367",".268",".159","21.7","4.2","-29.6"
"1974","Reds","2163","5535","6373",".260",".135","38.6","4.9","90.2"
"2003","White Sox","2277","5487","6148",".263",".182","22.5","4.2","12.9"
"2004","Cubs","2290","5628","6281",".268",".190","25.4","4.2","74.9"
"1991","Tigers","1792","5547","6359",".247",".169","29.6","4.6","31.9"
"2004","Braves","2349","5570","6339",".270",".164","29.0","4.7","71.5"
"1939","Pirates","1782","5267","5921",".276",".108","15.4","4.3","17.3"
"1942","Dodgers","1782","5286","5991",".264",".098","29.0","4.4","69.6"
"2004","Astros","2391","5470","6271",".267",".169","24.7","4.8","48.7"
"2002","Angels","2307","5678","6327",".282",".150","28.2","4.9","16.5"
"2009","Brewers","2321","5510","6296",".263",".164","24.9","4.3","36.5"
"2012","Rangers","2236","5590","6216",".273",".173","24.8","4.5","-10.1"
"1932","Tigers","1706","5409","5992",".273",".128","16.0","5.9","54.8"
"1939","Browns","1845","5421","6131",".268",".113","-0.1","4.3","-49.2"
"1979","Orioles","1817","5371","6106",".261",".158","32.1","4.2","54.0"
"1933","Red Sox","1731","5200","5853",".271",".107","14.3","4.6","21.9"
"1927","Indians","1696","5203","5843",".283",".096","6.5","4.5","7.4"
"1953","Braves","1842","5347","5893",".266",".149","20.9","4.5","42.8"
"1986","Rangers","1799","5529","6148",".267",".160","20.2","4.5","-19.3"
"1994","Twins","1201","3952","4409",".276",".150","12.0","5.2","-5.4"
"2001","Diamondbacks","2177","5592","6346",".267",".175","26.0","4.4","88.6"
"1937","Phillies","1807","5424","5993",".273",".118","7.4","4.1","-4.8"
"2002","Diamondbacks","2331","5508","6318",".267",".156","22.1","4.7","36.6"
"2003","Twins","2269","5655","6324",".277",".154","24.0","4.8","5.4"
"1988","Blue Jays","1745","5557","6194",".268",".151","29.0","5.2","2.8"
"1940","White Sox","1598","5383","5999",".278",".108","17.8","4.5","71.3"
"2007","Devil Rays","2229","5593","6280",".268",".165","17.6","5.1","-66.0"
"1960","Yankees","2093","5290","5981",".260",".165","34.0","3.9","106.9"
"2002","Mariners","2251","5569","6362",".275",".144","31.3","4.8","8.8"
"1999","White Sox","1904","5644","6264",".277",".152","12.2","4.6","-37.7"
"1930","Reds","1818","5244","5879",".281",".118","8.5","4.6","35.7"
"2005","Phillies","2273","5542","6345",".270",".154","29.3","5.1","88.2"
"2007","Reds","2383","5607","6332",".267",".170","15.5","4.3","8.4"
"1939","Dodgers","1815","5350","6047",".265",".115","17.9","4.5","61.2"
"1916","Tigers","1766","5193","5969",".264",".086","25.1","6.3","14.9"
"1940","Indians","1696","5361","5957",".265",".133","23.8","4.7","70.5"
"1990","Tigers","1816","5479","6224",".259",".150","22.5","4.0","-37.9"
"1962","Twins","2067","5561","6362",".260",".152","24.9","3.8","65.6"
"2001","Cardinals","2295","5445","6172",".270",".172","31.1","4.6","103.0"
"1970","Orioles","1986","5545","6416",".257",".144","36.9","4.0","102.8"
"2008","Rays","2299","5541","6312",".260",".162","31.1","5.1","52.0"
"1971","Pirates","1990","5670","6278",".274",".142","37.4","5.0","47.9"
"1934","Phillies","1731","5218","5724",".284",".100","7.4","4.0","25.6"
"1951","Tigers","1889","5335","6006",".265",".115","14.9","3.4","20.2"
"1953","Phillies","1790","5290","5916",".265",".132","20.6","4.6","79.7"
"1984","Blue Jays","1913","5687","6286",".273",".148","24.9","6.0","4.0"
"1925","Cubs","1682","5353","5933",".275",".122","12.1","5.2","59.3"
"1982","Red Sox","1674","5596","6262",".274",".132","18.2","3.5","-17.0"
"2010","Twins","2290","5568","6257",".273",".148","26.6","4.5","13.7"
"1963","Twins","2006","5524","6226",".254",".175","32.6","3.6","72.1"
"1987","Mets","2132","5594","6327",".267",".166","30.7","5.1","24.6"
"1958","Cubs","2012","5270","5883",".266",".161","22.5","4.2","33.4"
"1995","Astros","2087","5095","5852",".275",".124","22.2","5.0","-9.5"
"1928","Robins","1813","5243","5992",".266",".108","13.2","4.9","20.9"
"1931","Browns","1704","5384","5945",".270",".118","7.4","4.7","9.2"
"2008","Indians","2199","5543","6299",".262",".162","23.9","4.3","-0.4"
"1986","Blue Jays","1866","5716","6318",".269",".157","22.8","4.6","-15.1"
"2011","Cardinals","2403","5532","6242",".273",".151","28.4","3.6","2.7"
"1932","Browns","1695","5448","6064",".276",".113","7.9","4.8","21.8"
"2006","Twins","2226","5602","6228",".287",".138","22.7","4.6","13.5"
"1921","Athletics","1674","5451","6056",".274",".115","3.4","4.6","-6.4"
"1973","Red Sox","1629","5513","6223",".267",".134","28.3","4.6","40.3"
"1999","Tigers","1902","5481","6096",".261",".181","15.5","4.7","19.8"
"1985","Blue Jays","1878","5508","6107",".269",".156","27.5","5.3","44.6"
"2008","Phillies","2396","5509","6273",".255",".182","31.4","5.4","107.5"
"1999","Cardinals","2275","5570","6354",".262",".163","17.2","4.9","38.5"
"1982","White Sox","1871","5575","6242",".273",".140","17.8","5.4","-63.1"
"1941","Indians","1726","5272","5897",".256",".138","16.5","5.0","36.7"
"1928","Indians","1712","5388","5989",".285",".097","10.2","4.2","9.8"
"2010","Brewers","2262","5606","6304",".262",".161","26.8","4.4","30.4"
"2000","Red Sox","2051","5630","6371",".267",".156","16.4","3.7","21.3"
"1973","Orioles","1707","5537","6335",".266",".123","41.2","5.0","98.2"
"1955","Tigers","1848","5279","6066",".266",".128","23.9","4.1","27.5"
"1992","Athletics","1801","5387","6275",".258",".129","30.5","4.4","-11.9"
"2006","Tigers","2214","5642","6198",".274",".174","21.8","4.4","23.4"
"1949","Phillies","1804","5306","5933",".254",".133","15.6","3.9","20.4"
"1992","Orioles","1728","5485","6292",".259",".138","25.4","4.1","-5.6"
"1943","Pirates","1834","5351","6018",".262",".096","21.7","4.7","32.3"
"1946","Giants","1930","5190","5833",".255",".118","19.3","3.8","28.4"
"1999","Dodgers","2104","5567","6338",".266",".154","22.1","4.7","48.2"
"1931","Robins","1719","5303","5807",".276",".114","15.5","4.9","9.8"
"1955","Braves","1782","5277","5920",".261",".166","26.3","4.3","57.0"
"2002","Twins","2289","5582","6196",".272",".165","25.7","4.4","45.0"
"1993","Rangers","1759","5510","6166",".267",".164","20.1","5.0","-12.0"
"1954","Braves","1787","5261","5921",".265",".136","21.2","4.1","51.8"
"1921","Cubs","1724","5321","5907",".292",".086","13.4","4.3","26.9"
"1938","Cubs","1706","5333","5972",".269",".108","21.0","4.7","60.6"
"2006","Mets","2279","5558","6291",".264",".181","28.1","5.6","66.4"
"1997","White Sox","2014","5491","6201",".273",".144","17.2","4.5","-43.1"
"1928","Phillies","1845","5234","5917",".267",".116","1.1","4.1","-18.9"
"2004","Angels","2217","5675","6296",".282",".147","23.4","5.4","1.4"
"1944","Indians","1858","5481","6119",".266",".106","28.7","3.8","42.8"
"1958","Yankees","1821","5294","5971",".268",".148","36.7","4.1","93.2"
"2010","Blue Jays","2206","5495","6072",".248",".206","21.9","4.0","-20.8"
"1970","Cubs","1950","5487","6225",".259",".155","17.2","4.2","30.1"
"1987","Mariners","1712","5508","6145",".272",".156","16.1","5.6","-37.0"
"1994","Braves","1531","3861","4349",".267",".167","17.9","4.0","59.4"
"1973","Twins","1735","5625","6331",".270",".122","21.4","4.4","-36.8"
"2016","Cubs","2194","5503","6335",".256",".173","38.7","4.1","115.5"
"1984","Yankees","1749","5661","6356",".276",".129","21.6","3.9","-56.5"
"1950","Senators","1774","5250","6027",".260",".100","8.2","4.2","9.9"
"2006","Rockies","2306","5562","6348",".270",".163","13.5","4.9","39.3"
"1940","Athletics","1753","5303","5947",".262",".125","7.6","4.3","-13.7"
"1990","Blue Jays","1673","5584","6217",".265",".155","26.5","5.1","8.4"
"2000","Pirates","2202","5643","6369",".267",".157","10.6","4.4","-14.3"
"1980","Rangers","1953","5690","6320",".284",".121","16.4","4.0","-106.2"
"2003","Astros","2390","5583","6320",".263",".169","26.4","4.3","76.6"
"1999","Devil Rays","1833","5586","6272",".274",".137","6.8","4.1","-71.2"
"1957","Red Sox","1858","5249","5973",".263",".143","22.8","3.4","57.7"
"2009","Indians","2188","5568","6320",".264",".153","16.1","4.4","-54.8"
"1978","Dodgers","2008","5404","6188",".264",".139","33.3","4.7","44.1"
"2010","Rockies","2379","5530","6265",".263",".162","14.7","5.3","8.7"
"1933","Pirates","1706","5428","5961",".285",".098","24.2","4.7","35.4"
"1949","White Sox","1796","5204","6003",".257",".090","14.9","4.4","57.7"
"1973","Giants","2077","5537","6274",".262",".144","25.8","5.0","26.3"
"1996","Braves","2227","5614","6293",".270",".162","25.0","4.2","80.4"
"1944","Giants","1885","5306","5952",".263",".106","18.8","3.9","27.4"
"1943","Cubs","1783","5279","5972",".261",".090","22.3","4.2","9.1"
"1976","Red Sox","1793","5511","6154",".263",".139","22.3","4.7","2.2"
"2010","Rangers","2312","5635","6302",".276",".143","21.7","4.5","0.9"
"1983","Brewers","1655","5620","6240",".277",".141","24.5","5.0","-35.8"
"1960","White Sox","1945","5189","5964",".270",".126","29.0","5.1","76.1"
"2008","Orioles","2340","5559","6211",".267",".162","18.4","4.4","-11.0"
"2007","Mariners","2338","5684","6209",".287",".138","15.3","4.3","-68.4"
"1941","Pirates","1847","5297","5952",".268",".100","22.0","4.7","45.3"
"1991","Red Sox","1731","5530","6259",".269",".133","22.1","3.6","13.6"
"1986","Twins","1822","5531","6151",".261",".167","15.5","4.3","-45.8"
"1927","Phillies","1711","5317","5956",".280",".090","1.9","4.3","-32.1"
"1987","Rangers","1881","5564","6248",".266",".165","14.3","4.9","-49.7"
"1977","Rangers","1775","5541","6342",".270",".135","29.3","5.0","41.0"
"1955","Phillies","1811","5084","5855",".256",".140","23.4","4.1","75.0"
"1993","White Sox","1693","5483","6253",".265",".146","26.7","4.7","41.3"
"2007","Angels","2230","5554","6198",".284",".133","21.6","4.8","2.0"
"1977","Dodgers","2176","5590","6328",".265",".152","29.1","4.4","50.6"
"1952","Athletics","1760","5163","5975",".253",".106","17.4","3.6","20.6"
"1979","Twins","1891","5544","6297",".278",".123","16.4","4.3","-27.9"
"1958","Giants","2122","5318","5996",".263",".159","23.2","4.4","29.7"
"1923","Athletics","1693","5196","5863",".271",".099","7.2","4.8","16.1"
"1936","Athletics","1686","5373","5991",".269",".107","2.5","4.5","30.8"
"1975","Twins","1925","5514","6225",".271",".115","21.7","4.1","-17.6"
"1990","Red Sox","1692","5515","6233",".272",".123","15.3","3.5","-55.0"
"2001","Red Sox","2035","5605","6264",".266",".173","14.2","3.7","-67.4"
"1942","Giants","1736","5210","5881",".254",".107","24.4","3.7","54.8"
"2003","Phillies","2227","5543","6333",".261",".158","26.4","4.3","59.1"
"1975","Athletics","2238","5415","6185",".254",".136","31.6","5.1","20.4"
"1983","Red Sox","1700","5590","6251",".270",".139","16.9","3.3","-33.2"
"2008","Mets","2405","5606","6388",".266",".154","28.6","5.2","66.1"
"2001","Twins","1791","5560","6185",".272",".161","21.8","5.1","13.0"
"1962","Reds","1986","5641","6269",".270",".148","23.4","4.4","31.4"
"1955","White Sox","1959","5219","5999",".268",".120","26.5","4.1","70.7"
"1921","Phillies","1676","5329","5760",".284",".113","1.5","4.2","-9.9"
"1978","Tigers","1672","5601","6299",".271",".120","24.5","4.2","-0.6"
