"Season","Team","G","AB","PA","AVG","ISO","WAR","Spd","Def"
"1934","Yankees","1713","5368","6178",".278",".140","33.9","4.9","74.1"
"1924","Yankees","1703","5226","5918",".291",".137","24.1","5.1","34.5"
"1929","Giants","1756","5388","6060",".296",".140","25.5","4.9","75.5"
"1950","Dodgers","1814","5364","6086",".272",".172","30.6","4.5","65.8"
"1931","Cubs","1748","5451","6178",".289",".133","30.5","4.8","27.2"
"1936","White Sox","1616","5466","6283",".292",".105","20.9","5.0","70.8"
"1949","Dodgers","1830","5398","6171",".274",".146","33.4","4.9","74.0"
"1936","Senators","1647","5424","6082",".295",".119","22.2","6.0","56.6"
"2007","Yankees","2366","5717","6528",".290",".174","33.9","5.0","-47.2"
"1930","Senators","1677","5357","6101",".302",".124","31.1","6.0","95.7"
"1954","Dodgers","1854","5242","6047",".270",".175","28.3","4.1","58.9"
"1927","Tigers","1772","5300","6112",".289",".120","21.6","6.3","20.8"
"2000","Astros","2299","5566","6440",".278",".199","23.1","5.0","-10.9"
"1922","Pirates","1634","5518","6148",".308",".111","21.9","6.5","-16.9"
"1939","Tigers","1758","5326","6106",".279",".147","20.4","5.4","47.6"
"1939","Cardinals","1942","5446","6115",".294",".138","27.8","4.4","55.4"
"1921","Giants","1755","5277","5945",".298",".123","34.0","6.1","87.1"
"1926","Tigers","1881","5313","6182",".291",".107","19.6","5.3","-4.7"
"1923","Giants","1798","5452","6083",".295",".120","32.3","5.4","65.4"
"1938","Senators","1732","5474","6158",".293",".124","25.5","4.9","44.5"
"1929","Cardinals","1678","5364","6030",".293",".145","16.5","5.4","23.9"
"1950","Indians","1831","5263","6080",".269",".153","29.8","3.9","64.2"
"1927","Pirates","1710","5397","6077",".305",".107","27.3","5.0","48.2"
"1998","Yankees","1962","5643","6444",".288",".172","36.1","5.1","6.9"
"1926","Senators","1792","5223","6009",".292",".109","22.7","5.9","10.5"
"1997","Indians","1917","5556","6304",".286",".181","31.3","4.3","-8.1"
"1949","Yankees","1889","5195","6040",".269",".131","30.3","4.9","65.4"
"1938","Indians","1681","5356","6001",".281",".153","20.0","6.0","25.1"
"1921","Browns","1714","5446","6103",".303",".121","16.8","5.8","7.5"
"1928","Cardinals","1715","5348","6134",".281",".144","27.0","5.1","53.4"
"1946","Red Sox","1753","5318","6126",".271",".131","34.3","4.2","57.7"
"1930","Indians","1759","5439","6120",".304",".127","16.4","4.6","3.1"
"1942","Red Sox","1625","5248","5984",".276",".126","34.2","4.5","65.7"
