"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"1974","Orioles","1713","6230","116","659","608","145","8.2 %","12.4 %",".113",".277",".256",".322",".370",".317","103","8.1","27.6","25.1","26.6"
"1969","Senators","2227","6196","148","694","640","52","10.2 %","14.5 %",".128",".274",".251",".330",".378",".322","101","-2.4","3.7","66.7","26.6"
"1993","Cubs","2268","6217","161","738","706","100","7.2 %","14.8 %",".143",".297",".270",".325",".414",".326","95","3.4","-35.8","82.3","26.6"
"1922","Tigers","1739","6168","54","828","735","78","8.6 %","6.2 %",".110",".323",".306",".373",".416",".367","106","4.6","56.4","18.6","26.6"
"2010","Twins","2290","6257","142","781","749","68","8.9 %","15.5 %",".148",".306",".273",".341",".422",".335","106","-15.8","29.5","13.7","26.6"
"1987","Pirates","2190","6224","131","723","684","140","8.6 %","14.7 %",".138",".293",".264",".330",".403",".319","92","0.8","-60.1","114.4","26.6"
"1998","Indians","1849","6373","198","850","811","143","9.9 %","16.6 %",".176",".302",".273",".347",".449",".347","103","2.0","29.9","20.9","26.6"
"1920","Cardinals","1738","6086","32","675","600","126","6.1 %","8.0 %",".096",".313",".289",".337",".385",".340","109","-2.2","55.0","5.7","26.6"
"1979","Cardinals","2110","6347","100","731","685","116","7.2 %","13.2 %",".123",".307",".278",".331",".401",".324","98","-2.8","-17.7","64.4","26.6"
"2001","Rockies","2178","6393","213","923","874","132","8.0 %","16.1 %",".191",".322",".292",".354",".483",".357","95","2.6","-41.6","102.6","26.6"
"1964","White Sox","2073","6229","105","641","583","74","9.0 %","14.5 %",".106",".276",".247",".320",".353",".302","93","2.0","-51.5","136.2","26.5"
"1955","White Sox","1959","5999","116","725","677","69","9.5 %","9.9 %",".120",".282",".268",".344",".388",".332","97","0.8","-20.1","70.7","26.5"
"2003","Yankees","2180","6431","230","877","845","98","10.6 %","16.2 %",".182",".295",".271",".356",".453",".351","115","-0.3","119.4","-72.0","26.5"
"1941","Cardinals","1807","6150","70","734","664","47","8.8 %","8.8 %",".106",".291",".272",".340",".377",".338","99","6.5","-3.6","81.1","26.5"
"1990","Blue Jays","1673","6217","167","767","729","111","8.5 %","15.6 %",".155",".291",".265",".328",".419",".333","107","-0.7","49.7","8.4","26.5"
"1965","Pirates","2086","6249","111","675","631","51","6.7 %","16.1 %",".117",".303",".265",".317",".382",".309","95","-3.8","-38.9","87.4","26.5"
"1934","Giants","1776","5933","126","760","716","19","6.8 %","8.9 %",".130",".287",".275",".329",".405",".337","97","1.3","-18.4","94.4","26.4"
"1971","Dodgers","1990","6153","95","663","631","76","7.9 %","12.2 %",".104",".291",".266",".325",".370",".315","101","1.7","8.5","31.2","26.4"
"1967","Cubs","1910","6141","128","701","641","63","8.3 %","14.8 %",".127",".279",".251",".317",".378",".311","94","-2.1","-39.6","73.8","26.4"
"1955","Red Sox","1822","6131","137","755","709","43","11.5 %","11.9 %",".138",".281",".264",".351",".402",".340","96","7.2","-25.5","70.4","26.4"
"2003","Phillies","2227","6333","166","791","757","72","10.3 %","18.2 %",".158",".301",".261",".343",".419",".332","100","1.2","1.3","59.1","26.4"
"1988","Twins","1812","6181","151","759","710","107","8.5 %","13.5 %",".147",".296",".274",".340",".421",".340","108","-7.5","50.8","-5.6","26.4"
"2003","Astros","2390","6320","191","805","763","66","8.8 %","16.2 %",".169",".289",".263",".336",".431",".333","97","10.9","-15.9","76.6","26.4"
"1977","Orioles","1894","6173","148","719","677","90","9.1 %","15.3 %",".132",".289",".261",".329",".393",".321","103","2.0","26.8","24.2","26.4"
"1982","Dodgers","2200","6307","137","689","651","151","8.2 %","12.6 %",".124",".284",".264",".327",".388",".318","101","8.2","17.2","24.2","26.4"
"1990","Mets","2107","6182","172","775","734","110","8.7 %","13.8 %",".152",".273",".256",".323",".408",".325","103","6.7","30.0","4.9","26.4"
"2015","Cubs","2406","6200","171","689","657","95","9.1 %","24.5 %",".154",".305",".244",".321",".398",".313","97","15.8","-8.4","63.5","26.4"
"1925","Cardinals","1659","5934","109","827","752","70","7.5 %","7.0 %",".146",".308",".299",".356",".445",".366","102","4.3","21.9","49.7","26.3"
"1955","Braves","1782","5920","182","743","699","42","8.5 %","12.4 %",".166",".272",".261",".326",".427",".334","105","2.0","35.6","57.0","26.3"
"1983","Cardinals","2242","6242","83","679","636","207","8.7 %","14.1 %",".115",".305",".270",".335",".384",".321","100","5.2","6.7","44.0","26.3"
"1986","Giants","2248","6211","114","698","637","147","8.6 %","17.5 %",".122",".295",".253",".322",".375",".309","95","-8.4","-42.2","97.7","26.3"
"1921","Tigers","1696","6291","58","885","793","95","9.2 %","5.9 %",".118",".331",".316",".385",".434",".379","110","1.0","87.9","-31.3","26.3"
"2010","Giants","2354","6143","162","697","660","55","7.9 %","17.9 %",".151",".293",".257",".321",".408",".320","98","-18.3","-31.6","94.2","26.3"
"1999","Rangers","1807","6389","230","945","897","111","9.6 %","14.7 %",".186",".313",".293",".361",".479",".363","109","-2.1","74.6","-20.4","26.3"
"1994","Astros","1504","4500","120","602","573","124","8.8 %","16.0 %",".167",".311",".278",".347",".445",".343","109","5.5","60.3","58.4","26.2"
"1919","Reds","1423","5214","20","578","489","143","7.8 %","7.1 %",".079",".283",".263",".327",".342",".323","106","1.7","32.2","57.8","26.1"
"1967","Giants","2109","6205","140","652","604","22","8.4 %","15.8 %",".127",".274",".245",".313",".372",".308","96","-3.2","-27.3","54.1","26.1"
"2006","Padres","2396","6287","161","731","698","123","9.0 %","17.6 %",".154",".299",".263",".332",".416",".325","99","5.2","-5.0","65.1","26.1"
"1987","Giants","2285","6250","205","783","731","126","8.2 %","17.5 %",".170",".288",".260",".324",".430",".326","101","-18.6","-7.4","56.3","26.1"
"1933","Athletics","1673","6050","139","875","831","34","10.3 %","10.2 %",".156",".302",".285",".362",".441",".371","109","-8.3","66.6","-27.7","26.1"
"1927","Cubs","1652","6014","74","750","692","65","8.0 %","8.2 %",".116",".302",".284",".347",".400",".349","101","8.8","14.4","57.9","26.1"
"2001","Diamondbacks","2177","6346","208","818","776","71","9.2 %","16.5 %",".175",".294",".267",".341",".442",".336","97","-2.6","-31.3","88.6","26.0"
"1922","Yankees","1602","5998","95","757","677","62","8.3 %","8.8 %",".124",".305",".287",".353",".411",".355","98","0.9","-11.9","83.8","26.0"
"1978","Expos","2104","6064","121","633","589","80","6.5 %","14.5 %",".125",".281",".254",".306",".379",".308","91","0.5","-58.3","109.0","26.0"
"1998","Mariners","1858","6331","234","859","823","115","8.8 %","17.1 %",".192",".302",".276",".345",".468",".353","109","5.9","77.8","-30.5","26.0"
"1974","Athletics","2001","6048","132","689","637","164","9.4 %","14.5 %",".127",".270",".247",".321",".373",".319","106","-1.5","36.0","16.0","26.0"
"1979","Dodgers","2060","6188","183","739","713","106","9.0 %","13.5 %",".149",".279",".263",".331",".412",".330","104","4.6","36.6","8.3","26.0"
"1952","Giants","1913","5888","151","722","663","30","9.1 %","11.4 %",".144",".269",".256",".329",".399",".339","100","-0.6","2.3","49.3","26.0"
"1938","Reds","1656","5868","110","722","679","19","6.2 %","8.8 %",".129",".291",".277",".327",".406",".337","102","1.8","15.6","75.4","25.9"
"2000","White Sox","1791","6410","216","978","926","119","9.2 %","15.0 %",".184",".309",".286",".356",".470",".357","106","5.3","58.5","-9.6","25.9"
"1999","Yankees","1891","6416","193","900","855","104","11.2 %","15.2 %",".171",".309",".282",".366",".453",".358","111","-4.9","90.5","-39.9","25.9"
"1946","Cardinals","1843","5998","80","710","663","58","8.8 %","8.9 %",".115",".284",".266",".334",".381",".339","102","8.5","19.1","47.8","25.9"
"2004","Padres","2316","6313","139","768","722","52","9.0 %","14.4 %",".141",".301",".273",".342",".414",".329","103","8.1","30.5","22.3","25.9"
"1972","Dodgers","1853","5903","98","584","543","82","8.1 %","13.3 %",".104",".283",".256",".319",".360",".310","98","3.9","-8.0","40.9","25.9"
"2006","Phillies","2410","6509","216","865","823","92","9.6 %","18.5 %",".180",".302",".267",".347",".447",".341","100","18.5","15.5","34.6","25.9"
"1983","White Sox","1969","6164","157","800","762","165","8.5 %","14.4 %",".150",".285",".262",".329",".413",".330","102","12.3","23.3","24.0","25.8"
"1973","Giants","2077","6274","161","739","684","112","9.4 %","14.6 %",".144",".287",".262",".335",".407",".333","102","4.9","21.0","26.3","25.8"
"1924","Pirates","1606","5830","44","724","656","181","6.3 %","6.8 %",".113",".304",".287",".336",".400",".342","93","10.4","-37.9","106.8","25.8"
"2009","Dodgers","2352","6385","145","780","739","116","9.5 %","16.7 %",".141",".309",".270",".346",".412",".332","102","4.0","18.7","34.1","25.8"
"1964","Yankees","1999","6358","162","730","688","54","8.2 %","15.4 %",".134",".278",".253",".317",".387",".312","97","5.9","-17.5","87.1","25.8"
"2013","Braves","2293","6133","181","688","656","64","8.8 %","22.6 %",".153",".300",".249",".321",".402",".318","102","-5.1","4.4","52.5","25.8"
"2002","Twins","2289","6196","167","768","731","79","7.6 %","17.6 %",".165",".309",".272",".332",".437",".334","101","-5.6","1.1","45.0","25.7"
"2012","Braves","2264","6126","149","700","660","101","9.3 %","21.0 %",".142",".296",".247",".320",".389",".310","92","7.1","-49.0","104.2","25.7"
"1993","Tigers","1701","6505","178","899","853","104","11.8 %","17.2 %",".159",".313",".275",".362",".434",".354","114","-3.8","104.8","-54.8","25.7"
"1916","Giants","1667","5681","42","597","499","206","6.2 %","9.8 %",".090",".277",".253",".307",".343",".316","103","-6.2","13.5","31.7","25.7"
"1971","Tigers","2062","6196","179","701","652","35","8.7 %","13.8 %",".150",".271",".254",".325",".405",".330","104","-7.6","16.3","27.3","25.7"
"1965","Dodgers","2014","6107","78","608","548","172","8.1 %","14.6 %",".091",".279",".245",".312",".335",".291","91","5.9","-53.9","100.0","25.6"
"1946","Dodgers","2053","6134","55","698","642","100","11.3 %","9.4 %",".100",".284",".260",".348",".361",".340","101","16.6","20.6","39.4","25.6"
"1988","Pirates","2189","6091","110","651","619","119","9.1 %","15.5 %",".123",".278",".247",".317",".369",".308","98","-3.6","-15.6","67.6","25.6"
"1970","Twins","2200","6143","153","744","694","57","8.2 %","14.7 %",".141",".288",".262",".327",".403",".325","97","-7.4","-30.0","89.6","25.6"
"1922","Reds","1651","5943","45","766","686","130","7.3 %","6.4 %",".106",".312",".296",".353",".401",".351","99","-19.6","-31.1","75.0","25.6"
"1936","Tigers","1651","6232","94","921","848","73","10.4 %","7.4 %",".131",".315",".300",".377",".431",".375","101","-11.2","-5.0","45.0","25.6"
"1979","Pirates","2173","6329","148","769","710","179","7.6 %","13.5 %",".144",".296",".272",".330",".416",".327","98","11.3","-4.1","41.4","25.6"
"1961","Giants","1956","5884","183","772","709","79","8.6 %","13.0 %",".159",".276",".264",".329",".423",".331","101","-4.5","1.1","54.8","25.6"
"2013","Angels","2311","6260","164","733","696","82","8.4 %","19.5 %",".150",".307",".264",".329",".414",".325","109","-9.7","54.8","-24.0","25.6"
"2008","Rangers","2281","6478","194","901","867","81","9.2 %","18.6 %",".179",".325",".283",".354",".462",".355","112","11.1","108.1","-73.4","25.6"
"1920","White Sox","1568","6030","37","794","695","109","7.9 %","5.8 %",".107",".311",".295",".357",".402",".358","101","3.0","11.0","32.9","25.5"
"1986","Astros","2199","6095","125","654","613","163","8.8 %","15.0 %",".126",".284",".255",".322",".381",".311","97","2.0","-18.3","68.8","25.5"
"2014","Nationals","2265","6216","152","686","635","101","8.3 %","21.0 %",".140",".303",".253",".321",".393",".317","99","15.4","8.5","39.5","25.5"
"1938","Senators","1732","6158","85","814","768","65","9.3 %","6.1 %",".124",".302",".293",".362",".416",".360","99","-5.8","-16.4","44.5","25.5"
"1929","Giants","1756","6060","136","897","829","85","8.0 %","6.7 %",".140",".301",".296",".358",".436",".362","97","14.6","-11.6","75.5","25.5"
"1956","White Sox","1942","6122","128","776","726","70","10.1 %","10.7 %",".130",".282",".267",".349",".397",".336","99","4.6","-6.5","50.0","25.4"
"2006","Blue Jays","2329","6241","199","809","778","65","8.2 %","14.5 %",".179",".306",".284",".348",".463",".349","107","-15.0","43.6","3.4","25.4"
"1983","Astros","2082","6173","97","643","615","164","8.4 %","14.1 %",".118",".286",".257",".320",".375",".309","97","-5.7","-27.2","73.0","25.4"
"1932","Dodgers","1795","5943","110","752","703","61","6.5 %","9.7 %",".137",".301",".283",".334",".420",".342","102","11.1","28.1","43.8","25.4"
"1933","Giants","1775","5939","82","636","598","31","6.3 %","8.0 %",".097",".276",".263",".312",".361",".314","95","5.1","-29.4","103.2","25.4"
"1931","Cardinals","1758","5989","60","815","751","114","7.2 %","7.9 %",".125",".305",".286",".342",".411",".347","99","21.6","16.6","54.1","25.4"
"1988","Giants","2186","6176","113","670","629","121","8.9 %","16.5 %",".120",".284",".248",".318",".368",".308","100","-10.2","-7.4","53.4","25.4"
"1992","Orioles","1728","6292","148","705","680","89","10.3 %","13.1 %",".138",".279",".259",".340",".398",".334","107","-2.3","43.9","-5.6","25.4"
"2004","Cubs","2290","6281","235","789","755","66","7.8 %","17.2 %",".190",".292",".268",".328",".458",".336","98","-12.0","-26.2","74.9","25.4"
"1995","Giants","1992","5603","152","652","610","138","8.4 %","18.9 %",".151",".292",".253",".323",".404",".320","93","6.3","-45.0","112.3","25.4"
"1980","Phillies","2182","6269","117","728","674","140","7.5 %","11.3 %",".130",".288",".270",".327",".400",".324","100","2.6","4.2","41.7","25.3"
"1985","Orioles","1905","6212","214","818","773","69","9.7 %","14.6 %",".167",".279",".263",".336",".430",".340","111","-5.3","76.8","-37.3","25.3"
"1976","Dodgers","1999","6108","91","608","559","144","7.9 %","12.1 %",".099",".274",".251",".313",".350",".305","91","6.9","-51.3","91.2","25.3"
"1918","Reds","1305","4762","15","530","447","128","6.4 %","6.4 %",".089",".296",".278",".330",".366",".340","115","0.4","71.6","0.1","25.3"
"1976","Royals","1913","6199","65","713","656","218","7.8 %","10.5 %",".103",".291",".269",".327",".371",".322","103","3.0","25.6","17.8","25.3"
"1969","Braves","2019","6098","141","691","640","59","8.0 %","10.9 %",".121",".271",".258",".321",".380",".317","92","-4.2","-56.9","88.1","25.2"
"1932","Senators","1792","6141","61","840","776","70","8.2 %","7.2 %",".124",".300",".284",".347",".408",".345","96","-8.3","-40.7","78.8","25.2"
"1992","Braves","2251","6143","138","682","641","126","8.0 %","15.0 %",".134",".280",".254",".316",".388",".316","95","0.8","-32.2","79.2","25.2"
"1996","Mets","2235","6220","147","746","697","97","7.2 %","17.2 %",".143",".307",".270",".324",".412",".321","94","-3.6","-50.7","120.2","25.2"
"1926","White Sox","1703","6035","32","731","666","123","9.1 %","6.3 %",".102",".307",".289",".360",".390",".354","99","-11.3","-22.9","55.4","25.2"
"1927","Athletics","1842","6089","56","841","767","101","9.1 %","5.3 %",".111",".316",".304",".373",".415",".369","102","-11.6","8.3","30.6","25.2"
"1952","Phillies","1707","5872","93","657","606","60","9.2 %","9.1 %",".116",".275",".260",".332",".377",".332","98","1.7","-11.2","56.5","25.2"
"2008","Brewers","2227","6252","198","750","722","108","8.8 %","19.2 %",".179",".287",".253",".325",".431",".329","97","8.9","-11.7","61.6","25.2"
"2007","Brewers","2330","6238","231","801","774","96","8.0 %","18.2 %",".194",".289",".262",".329",".456",".337","100","7.4","7.7","44.1","25.1"
"1992","Pirates","2253","6269","106","693","656","110","9.1 %","13.9 %",".126",".283",".255",".324",".381",".316","100","0.2","-3.7","43.0","25.1"
"2015","Astros","2333","6073","230","729","691","121","8.0 %","22.9 %",".187",".292",".250",".315",".437",".325","107","7.7","58.7","-20.9","25.1"
"1916","Tigers","1766","5969","17","673","560","190","9.1 %","8.9 %",".086",".291",".264",".337",".350",".335","103","-0.5","20.7","14.9","25.1"
"1972","Yankees","1891","5785","103","557","526","71","8.5 %","11.9 %",".108",".269",".250",".317",".358",".309","105","0.6","31.0","27.3","25.1"
"1943","Senators","1678","5964","47","666","619","142","10.1 %","9.6 %",".093",".278",".254",".336",".347",".331","102","5.9","21.8","13.9","25.1"
"1991","Rangers","1981","6441","177","829","774","102","9.3 %","16.1 %",".154",".301",".270",".341",".424",".342","112","0.4","93.5","-62.2","25.1"
"2010","Tigers","2274","6312","152","751","717","69","8.7 %","18.2 %",".147",".311",".268",".335",".415",".330","102","9.7","23.9","2.2","25.0"
"1996","Braves","2227","6293","197","773","735","83","8.4 %","16.4 %",".162",".297",".270",".333",".432",".333","99","-4.2","-12.5","80.4","25.0"
"1931","Senators","1715","6182","49","843","788","72","7.8 %","7.4 %",".115",".304",".286",".346",".400",".346","97","-14.4","-38.7","67.2","25.0"
"1985","Mets","2073","6248","134","695","651","117","8.7 %","14.0 %",".128",".281",".257",".323",".385",".313","99","0.4","-6.1","42.7","25.0"
"1969","Giants","2049","6374","136","713","657","71","11.2 %","16.5 %",".119",".275",".242",".334",".361",".318","98","4.5","-11.5","25.5","25.0"
"2014","Athletics","2358","6245","146","729","686","83","9.4 %","17.7 %",".137",".278",".244",".320",".381",".312","102","10.3","26.5","0.2","25.0"
"1962","Twins","2067","6362","185","798","758","33","10.2 %","12.9 %",".152",".274",".260",".338",".412",".335","99","-0.7","-4.9","65.6","24.9"
"1970","Pirates","2049","6226","130","728","674","66","7.1 %","14.0 %",".136",".297",".270",".325",".405",".323","95","1.6","-40.0","68.9","24.9"
"1979","Angels","1667","6311","164","866","808","100","9.3 %","13.4 %",".148",".304",".282",".351",".429",".347","113","0.7","102.0","-68.2","24.9"
"1984","Padres","2132","6119","109","686","629","152","7.7 %","13.2 %",".112",".284",".259",".317",".371",".308","95","3.2","-32.5","70.1","24.9"
"2016","Dodgers","2129","6164","189","725","680","45","8.5 %","21.4 %",".160",".294",".249",".319",".409",".314","98","2.8","-12.9","60.4","24.9"
"1984","Blue Jays","1913","6286","143","750","702","193","7.3 %","13.0 %",".148",".296",".273",".331",".421",".335","103","11.8","35.3","4.0","24.9"
"2009","Brewers","2321","6296","182","785","757","68","9.7 %","19.6 %",".164",".305",".263",".341",".426",".336","103","-9.6","10.2","36.5","24.9"
"1998","Orioles","2017","6304","214","817","783","86","9.4 %","14.3 %",".174",".291",".273",".347",".447",".347","109","-3.8","66.0","-29.3","24.9"
"1954","Giants","1948","5928","186","732","700","30","8.8 %","9.5 %",".160",".264",".264",".332",".424",".345","96","1.1","-31.7","88.2","24.9"
"1978","Reds","2241","6190","136","709","669","137","10.3 %","14.5 %",".138",".282",".256",".334",".393",".328","103","5.9","24.1","3.8","24.9"
"1988","Reds","2127","6063","122","641","588","207","7.9 %","15.2 %",".122",".273",".246",".309",".368",".303","91","15.7","-45.4","93.4","24.8"
"1963","White Sox","2018","6242","114","683","648","64","9.1 %","14.4 %",".114",".279",".250",".323",".365",".309","98","4.4","-13.5","77.5","24.8"
"1979","Rangers","1860","6194","140","750","718","79","7.4 %","9.8 %",".130",".289",".278",".334",".409",".330","101","-2.8","3.8","35.6","24.8"
"1996","Cardinals","2258","6177","142","759","711","149","8.0 %","17.6 %",".140",".307",".267",".330",".407",".322","93","2.2","-55.0","121.8","24.8"
"1972","Orioles","1862","5676","100","519","483","78","8.9 %","16.5 %",".110",".261",".229",".302",".339",".294","93","2.2","-38.8","109.9","24.8"
"2012","Nationals","2338","6221","194","731","688","105","7.7 %","21.3 %",".166",".308",".261",".322",".428",".324","101","-4.6","4.2","39.3","24.8"
"1938","Red Sox","1656","6003","98","902","860","55","10.8 %","7.7 %",".135",".314",".299",".378",".434",".376","100","-14.0","-12.7","39.9","24.8"
"1984","Red Sox","1716","6251","181","810","767","38","8.0 %","13.5 %",".158",".303",".283",".341",".441",".347","111","-2.8","78.5","-42.7","24.8"
"2012","Rangers","2236","6216","200","808","780","91","7.7 %","17.7 %",".173",".306",".273",".334",".446",".336","106","-5.1","40.2","-10.1","24.8"
"1954","Cardinals","2053","6127","119","799","748","63","9.5 %","9.6 %",".140",".294",".281",".350",".421",".352","100","-1.1","-4.0","51.6","24.7"
"1965","Orioles","2032","6138","125","641","596","67","8.6 %","14.8 %",".124",".264",".238",".307",".363",".299","92","2.0","-56.6","108.6","24.7"
"2004","Red Sox","2417","6515","222","949","912","68","10.1 %","18.3 %",".190",".319",".282",".360",".472",".358","114","-17.1","97.9","-66.6","24.7"
"1984","Orioles","1957","6187","160","681","647","51","10.0 %","14.3 %",".139",".273",".252",".328",".391",".324","101","-4.1","4.5","37.6","24.7"
"1961","Orioles","2065","6210","149","691","638","39","9.4 %","14.5 %",".136",".278",".254",".326",".390",".320","95","-2.4","-39.1","90.5","24.7"
"1928","Pirates","1664","6037","52","837","768","64","7.2 %","5.8 %",".112",".324",".309",".364",".421",".363","102","9.5","24.0","35.9","24.7"
"1980","Red Sox","1671","6200","162","757","717","79","7.7 %","11.6 %",".153",".299",".283",".340",".436",".345","106","-4.1","42.0","-12.5","24.7"
"2004","Astros","2391","6271","187","804","756","89","9.4 %","15.9 %",".169",".293",".267",".342",".436",".336","98","10.0","-6.8","48.7","24.7"
"1930","Cardinals","1750","6203","104","999","942","72","7.7 %","8.0 %",".157",".332",".314",".372",".471",".376","101","13.9","24.8","32.7","24.6"
"1985","Tigers","1842","6223","202","729","703","75","8.5 %","14.9 %",".170",".269",".253",".318",".424",".326","103","-3.1","21.0","13.7","24.6"
"1916","Robins","1657","5833","28","585","493","187","6.1 %","9.4 %",".084",".287",".261",".313",".345",".320","100","5.2","2.4","29.4","24.6"
"1959","White Sox","2018","6050","97","669","620","113","9.6 %","10.5 %",".114",".266",".250",".327",".364",".311","92","3.5","-52.2","120.1","24.6"
"1945","Dodgers","1841","6180","57","795","722","75","10.2 %","7.0 %",".105",".286",".271",".350",".376",".349","101","11.5","17.9","15.7","24.6"
"1949","Indians","1839","5958","112","675","640","44","10.1 %","9.0 %",".124",".272",".260",".339",".384",".341","94","-9.3","-52.5","96.4","24.6"
"1978","Red Sox","1600","6316","172","796","738","74","9.2 %","13.2 %",".157",".285",".267",".336",".424",".342","106","-4.0","36.4","-9.8","24.5"
"1983","Brewers","1655","6240","132","764","732","101","7.6 %","10.7 %",".141",".292",".277",".333",".418",".333","109","-0.1","65.3","-35.8","24.5"
"1996","White Sox","1786","6497","195","898","860","105","10.8 %","14.3 %",".166",".303",".281",".360",".447",".352","106","0.9","55.0","-40.5","24.5"
"1978","Tigers","1672","6299","129","714","666","90","8.9 %","11.0 %",".120",".288",".271",".339",".392",".332","103","4.2","27.8","-0.6","24.5"
"2009","Red Sox","2317","6344","212","872","822","126","10.4 %","17.7 %",".184",".301",".270",".352",".454",".351","106","-7.7","40.7","-13.2","24.5"
"2014","Blue Jays","2397","6167","177","723","690","78","8.1 %","18.7 %",".155",".295",".259",".323",".414",".325","107","0.8","45.7","-21.3","24.4"
"1942","Giants","1736","5881","109","675","632","39","9.5 %","8.6 %",".107",".264",".254",".330",".361",".332","100","4.9","7.0","54.8","24.4"
"1940","Tigers","1775","6182","134","888","829","66","10.7 %","8.9 %",".156",".299",".286",".366",".442",".370","103","-6.8","15.0","10.1","24.4"
"2010","Red Sox","2327","6356","211","818","782","68","9.2 %","17.9 %",".183",".299",".268",".339",".451",".345","109","-7.2","59.7","-41.3","24.4"
"2000","Braves","2037","6273","178","809","757","148","9.5 %","16.1 %",".157",".302",".271",".346",".428",".339","95","4.6","-35.0","83.2","24.4"
"1989","Yankees","1733","6096","130","698","657","137","8.2 %","13.6 %",".122",".295",".269",".331",".391",".326","104","1.5","29.2","0.0","24.4"
"1959","Yankees","1955","5980","153","687","651","45","7.6 %","13.8 %",".142",".280",".260",".319",".402",".320","101","2.2","8.9","56.5","24.4"
"1980","Reds","2063","6206","113","706","668","156","8.7 %","13.7 %",".124",".289",".262",".327",".386",".319","98","13.3","-2.2","41.0","24.4"
"1971","Cardinals","2097","6300","95","739","686","124","8.6 %","12.0 %",".110",".300",".275",".338",".385",".327","105","6.7","38.3","-28.5","24.3"
"2010","Phillies","2277","6291","166","772","736","108","8.9 %","16.9 %",".153",".292",".260",".332",".413",".327","99","13.3","5.5","33.5","24.3"
"2000","Reds","2313","6373","200","825","794","100","8.8 %","15.6 %",".173",".299",".274",".343",".447",".341","94","3.3","-46.5","89.9","24.3"
"1993","Cardinals","2288","6279","118","758","724","153","9.4 %","14.0 %",".123",".302",".272",".341",".395",".329","99","2.1","-2.7","23.5","24.3"
"2015","Diamondbacks","2393","6276","154","720","680","132","7.8 %","20.9 %",".150",".316",".264",".324",".414",".319","95","13.2","-20.8","53.8","24.3"
"1928","Cubs","1664","6003","92","714","665","83","8.5 %","8.6 %",".125",".294",".278",".345",".403",".347","95","13.6","-28.1","84.3","24.3"
"1972","Astros","1839","5936","134","708","660","111","8.8 %","15.3 %",".135",".286",".258",".326",".393",".326","106","3.7","42.4","-35.3","24.3"
"1923","Pirates","1621","5943","49","786","701","154","6.8 %","6.1 %",".110",".309",".295",".347",".404",".351","96","12.8","-14.7","54.8","24.3"
"1933","Pirates","1706","5961","39","667","618","34","6.1 %","5.6 %",".098",".298",".285",".333",".384",".333","103","5.7","24.8","35.4","24.2"
"1980","Astros","2130","6253","75","637","599","194","8.6 %","12.1 %",".106",".289",".261",".326",".367",".311","99","8.7","4.6","30.9","24.2"
"1999","Phillies","2206","6386","161","841","797","125","9.9 %","16.9 %",".156",".313",".275",".351",".431",".343","96","9.3","-27.9","73.4","24.2"
"1969","Dodgers","1985","6162","97","642","584","80","7.9 %","13.3 %",".105",".282",".254",".315",".359",".305","95","-1.1","-39.4","56.5","24.2"
"2006","Yankees","2430","6455","210","930","902","139","10.1 %","16.3 %",".177",".315",".285",".363",".461",".356","113","7.4","118.9","-91.9","24.2"
"1966","Twins","1914","6032","144","663","611","67","8.5 %","14.0 %",".133",".269",".249",".316",".382",".308","96","0.5","-27.9","91.4","24.2"
"1999","Red Sox","1862","6321","176","836","808","67","9.4 %","14.7 %",".170",".303",".278",".350",".448",".349","102","-4.1","8.2","23.0","24.2"
"1949","Cardinals","1891","6149","102","765","720","17","9.3 %","7.8 %",".127",".289",".277",".348",".404",".353","99","2.1","-8.6","50.9","24.2"
"2002","Red Sox","2172","6332","177","859","810","80","8.6 %","14.9 %",".168",".302",".277",".345",".444",".343","107","-0.4","54.5","-28.8","24.2"
"1977","Astros","2056","6201","114","680","638","187","8.3 %","13.5 %",".131",".280",".254",".320",".385",".313","96","12.5","-20.2","56.2","24.2"
"1971","Red Sox","1931","6107","161","691","650","51","9.0 %","14.3 %",".145",".272",".252",".322",".397",".326","98","-1.1","-16.9","52.6","24.1"
"1951","Indians","1777","5935","140","693","658","52","10.2 %","10.6 %",".133",".270",".257",".337",".390",".339","101","0.7","10.4","37.6","24.1"
"1950","Giants","1835","5972","133","734","683","42","10.5 %","10.5 %",".134",".272",".258",".342",".392",".341","93","6.6","-48.4","102.7","24.1"
"1951","White Sox","1893","6120","86","714","668","99","9.7 %","8.6 %",".114",".287",".270",".349",".385",".343","99","-4.0","-9.0","50.8","24.1"
"1970","Mets","2064","6275","120","695","640","118","10.9 %","16.9 %",".120",".287",".249",".333",".370",".318","91","4.2","-63.7","83.5","24.1"
"1991","Athletics","1810","6192","159","760","716","151","10.4 %","15.8 %",".141",".274",".248",".331",".389",".324","104","4.7","33.7","-0.6","24.1"
"1924","Yankees","1703","5918","98","799","735","69","8.1 %","7.1 %",".137",".302",".291",".353",".427",".362","100","-0.6","1.2","34.5","24.1"
"1983","Yankees","1697","6279","153","770","728","84","8.5 %","10.9 %",".143",".286",".273",".337",".416",".337","111","-0.8","80.0","-57.6","24.1"
"1934","Cardinals","1757","5986","104","799","748","69","6.5 %","8.9 %",".137",".304",".288",".337",".425",".348","100","11.3","8.9","42.3","24.0"
