"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"1982","Brewers","1638","6337","216","891","843","84","7.6 %","11.3 %",".176",".285",".279",".335",".455",".348","120","-3.6","147.6","-4.5","35.9"
"2013","Red Sox","2264","6382","178","853","819","123","9.1 %","20.5 %",".169",".329",".277",".349",".446",".347","114","12.1","115.5","6.7","35.9"
"2003","Braves","2362","6378","235","907","872","68","8.5 %","14.6 %",".192",".302",".284",".349",".475",".354","112","9.5","105.3","46.7","35.6"
"1972","Reds","1952","6003","124","707","650","140","10.1 %","15.2 %",".129",".280",".251",".330",".380",".322","104","7.1","35.0","83.6","35.5"
"1984","Tigers","1875","6375","187","829","788","106","9.4 %","14.8 %",".161",".294",".271",".342",".432",".345","115","-6.0","109.2","27.9","35.5"
"1933","Yankees","1707","6066","144","927","853","76","11.5 %","8.4 %",".156",".292",".284",".369",".440",".375","118","-10.2","134.9","-5.1","35.4"
"1993","Giants","2213","6255","167","807","757","120","8.2 %","14.8 %",".151",".303",".276",".340",".427",".337","108","-1.3","57.1","75.0","35.4"
"1929","Yankees","1764","6091","142","899","828","52","9.1 %","8.2 %",".156",".306",".296",".365",".452",".371","113","-13.8","92.8","58.5","35.2"
"1957","Braves","1880","6050","199","772","722","35","7.6 %","12.0 %",".173",".278",".269",".327",".442",".337","111","4.7","86.1","70.6","35.1"
"1998","Astros","2121","6437","166","873","818","155","9.6 %","17.4 %",".156",".321",".280",".356",".436",".347","113","8.7","111.8","44.5","35.1"
"1941","Dodgers","1816","6218","101","800","747","36","9.6 %","8.6 %",".133",".287",".272",".347",".405",".352","109","4.3","67.1","93.0","35.1"
"2002","Giants","2263","6304","198","784","751","74","9.8 %","15.2 %",".175",".289",".266",".344",".442",".338","109","2.8","73.5","72.1","35.1"
"1964","Braves","2094","6203","159","803","755","53","7.8 %","13.3 %",".146",".294",".272",".333",".418",".332","112","-3.0","83.8","24.4","35.1"
"1928","Yankees","1774","6067","133","894","817","50","9.3 %","9.1 %",".154",".310",".295",".365",".450",".374","116","-15.4","114.0","22.1","35.0"
"2007","Phillies","2446","6537","213","892","850","138","9.8 %","18.4 %",".184",".311",".274",".354",".458",".351","105","20.6","63.6","78.5","34.9"
"1978","Brewers","1632","6227","173","804","762","95","8.4 %","12.9 %",".155",".294",".276",".339",".432",".347","117","-0.6","121.0","3.1","34.7"
"2000","Giants","2123","6418","226","925","889","79","11.0 %","16.1 %",".194",".303",".278",".362",".472",".359","112","-1.3","103.7","53.7","34.7"
"2015","Blue Jays","2337","6231","232","891","852","88","9.1 %","18.5 %",".188",".298",".269",".340",".457",".344","117","10.2","131.2","-9.1","34.6"
"2011","Rangers","2186","6261","210","855","807","143","7.6 %","14.9 %",".177",".304",".283",".340",".460",".347","112","20.6","107.4","17.2","34.6"
"2010","Reds","2370","6285","188","790","761","93","8.3 %","19.4 %",".164",".314",".272",".338",".436",".340","106","12.7","57.2","80.5","34.5"
"1951","Dodgers","1890","6176","184","853","791","89","9.7 %","10.3 %",".159",".285",".275",".352",".435",".362","109","-6.1","61.9","71.1","34.4"
