"Season","Team","W","L","SV","G","GS","IP","R","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"1957","Tigers","78","76","21","363","154","1417.2","614","4.80","3.21","0.93",".259","75.6 %","","","3.56","3.90","","14.6"
"1966","Athletics","74","86","47","466","160","1435.0","648","5.36","3.95","0.66",".263","72.3 %","","","3.56","3.72","","12.1"
"2013","Athletics","96","66","46","609","162","1452.0","625","7.33","2.65","1.01",".276","74.8 %","39.5 %","9.2 %","3.56","3.83","4.05","16.0"
"1976","Astros","80","82","29","397","162","1444.1","657","4.86","4.13","0.51",".272","71.8 %","","","3.56","3.72","","7.1"
"2014","Rays","77","85","37","656","162","1463.2","625","8.84","2.96","0.89",".286","74.1 %","40.8 %","9.1 %","3.56","3.56","3.62","16.8"
"1959","Orioles","74","80","30","335","155","1400.1","621","4.72","3.06","0.71",".262","71.6 %","","","3.56","3.61","","16.6"
"1981","Royals","50","53","24","230","103","922.1","405","3.94","2.66","0.73",".269","72.7 %","","","3.56","3.73","","8.4"
"1951","Yankees","98","56","22","312","154","1367.0","621","4.37","3.70","0.61",".268","71.9 %","","","3.56","3.68","","15.4"
"1958","Pirates","84","70","41","376","154","1367.0","607","4.47","3.09","0.81",".273","73.8 %","","","3.56","3.73","","15.4"
"1991","Mets","77","84","39","475","161","1437.1","646","6.44","2.57","0.68",".290","70.7 %","","","3.56","3.31","","21.5"
"1968","Reds","83","79","38","484","163","1490.1","673","5.82","3.46","0.69",".276","72.4 %","","","3.56","3.33","","7.9"
"1966","Angels","80","82","40","458","162","1457.1","643","5.16","3.16","0.84",".268","73.7 %","","","3.56","3.75","","7.2"
"2011","Dodgers","82","79","40","622","161","1432.0","612","7.95","3.19","0.83",".285","74.1 %","42.8 %","8.8 %","3.56","3.61","3.72","18.3"
"1937","Pirates","86","68","17","303","154","1366.1","647","4.24","2.82","0.47",".285","68.6 %","","","3.56","3.75","","16.8"
"1981","Pirates","46","56","29","304","103","942.0","425","4.70","3.31","0.57",".287","72.3 %","","","3.56","3.53","","8.4"
"1977","Rangers","94","68","31","362","162","1472.1","657","5.28","2.88","0.82",".274","72.8 %","","","3.56","3.77","","18.9"
"1978","Orioles","90","71","33","322","161","1429.0","633","4.75","3.21","0.67",".270","71.8 %","","","3.56","3.60","","16.8"
"1973","Angels","79","83","19","326","162","1456.1","657","6.24","3.79","0.64",".278","72.5 %","","","3.57","3.46","","17.7"
"1994","Expos","74","40","46","373","114","1036.2","454","6.99","2.50","0.87",".281","72.8 %","","","3.57","3.78","","15.9"
"1994","Braves","68","46","26","358","114","1026.1","448","7.59","3.31","0.67",".286","72.1 %","","","3.57","3.58","","20.3"
"2011","Angels","86","76","39","548","162","1465.0","633","6.50","2.92","0.87",".282","74.5 %","44.9 %","8.8 %","3.57","3.89","4.01","16.1"
"1966","Phillies","87","75","23","407","162","1459.2","640","5.72","2.54","0.84",".283","73.9 %","","","3.57","3.47","","14.6"
"1984","Braves","80","82","49","439","162","1447.0","655","5.34","3.27","0.76",".278","72.7 %","","","3.57","3.80","","14.3"
"2010","Braves","91","71","41","652","162","1439.1","629","7.76","3.16","0.79",".290","73.4 %","49.9 %","9.3 %","3.57","3.65","3.65","18.4"
"1956","Dodgers","93","61","30","355","154","1368.2","601","5.08","2.90","1.12",".252","75.5 %","","","3.57","3.88","","16.1"
"1947","Tigers","85","69","18","295","158","1398.2","642","4.17","3.42","0.51",".275","70.8 %","","","3.57","3.48","","21.4"
"2010","Cardinals","86","76","32","617","162","1453.2","641","6.77","2.95","0.82",".292","74.0 %","49.5 %","9.2 %","3.57","3.85","3.87","14.0"
"2015","Astros","86","76","39","644","162","1441.0","618","7.99","2.64","0.92",".285","73.8 %","47.3 %","10.9 %","3.57","3.66","3.71","20.0"
"2014","Indians","85","77","40","735","162","1468.1","653","8.89","2.84","0.83",".309","73.2 %","46.7 %","10.0 %","3.57","3.42","3.36","20.8"
"1927","Cardinals","92","61","11","263","153","1367.1","665","2.59","2.39","0.47",".273","66.7 %","","","3.57","3.97","","14.0"
"2009","Braves","86","76","38","650","162","1462.2","641","7.58","3.26","0.73",".299","73.8 %","46.4 %","8.1 %","3.57","3.66","3.91","23.7"
"1964","Twins","79","83","29","440","163","1477.2","678","6.69","3.32","1.10",".266","74.8 %","","","3.58","3.88","","14.5"
"1975","Cardinals","82","80","36","435","163","1454.2","689","5.10","3.53","0.61",".283","71.1 %","","","3.58","3.56","","14.1"
"1992","Padres","82","80","46","525","162","1461.1","636","5.98","2.70","0.68",".290","72.5 %","","","3.58","3.39","","18.1"
"1944","White Sox","71","83","17","266","154","1390.2","662","3.11","2.72","0.44",".273","67.7 %","","","3.58","3.43","","12.5"
"1980","Pirates","83","79","43","433","162","1458.1","646","5.13","2.78","0.68",".281","71.8 %","","","3.58","3.58","","16.9"
"1991","Padres","84","78","47","495","162","1452.2","646","5.71","2.83","0.86",".273","72.8 %","","","3.58","3.80","","16.1"
"1942","White Sox","66","82","8","223","148","1314.1","609","2.96","3.24","0.51",".265","70.3 %","","","3.58","3.63","","11.1"
"2014","Angels","98","64","46","705","162","1482.2","630","8.15","3.06","0.76",".285","73.3 %","41.7 %","8.0 %","3.58","3.57","3.78","15.6"
"2016","Mets","87","75","55","700","162","1447.0","617","8.68","2.73","0.95",".308","75.6 %","44.2 %","11.1 %","3.58","3.57","3.78","24.8"
"2011","Nationals","80","81","49","664","161","1449.1","643","6.51","2.96","0.80",".287","73.6 %","44.6 %","8.2 %","3.58","3.83","4.04","13.8"
"1942","Pirates","66","81","11","307","151","1351.1","632","2.84","2.90","0.41",".270","68.6 %","","","3.58","3.38","","15.1"
"2010","Athletics","81","81","38","585","162","1431.2","626","6.73","3.22","0.96",".274","75.1 %","46.1 %","9.7 %","3.58","4.13","4.08","13.1"
"1952","Cubs","77","77","15","323","155","1386.1","631","4.29","3.47","0.66",".254","71.0 %","","","3.58","3.61","","16.9"
"1984","Cardinals","84","78","51","474","162","1449.0","645","5.02","3.07","0.58",".287","71.7 %","","","3.58","3.57","","12.1"
"2011","Rays","91","71","32","600","162","1449.0","614","7.10","3.13","1.00",".265","75.5 %","42.1 %","9.8 %","3.58","4.03","4.01","14.6"
"2014","Reds","76","86","44","590","162","1446.0","612","8.03","3.16","1.01",".277","76.5 %","45.1 %","11.6 %","3.59","4.01","3.75","12.8"
"1983","Expos","82","80","34","415","163","1471.0","646","5.50","2.93","0.73",".278","72.7 %","","","3.59","3.64","","16.4"
"1944","Cubs","75","79","13","313","157","1400.2","669","3.44","2.90","0.48",".285","69.3 %","","","3.59","3.45","","14.5"
"1953","Red Sox","84","69","37","367","153","1373.0","632","4.21","3.83","0.60",".270","72.2 %","","","3.59","3.85","","20.8"
"2001","Athletics","102","60","44","578","162","1463.1","645","6.87","2.71","0.94",".282","74.0 %","","","3.59","3.88","","23.9"
"2013","Nationals","86","76","47","602","162","1445.2","626","7.69","2.52","0.88",".291","73.7 %","45.0 %","9.8 %","3.59","3.55","3.64","17.1"
"1939","Cardinals","92","61","32","365","155","1384.2","633","3.92","3.24","0.49",".275","70.5 %","","","3.59","3.94","","18.2"
"1980","Yankees","103","59","50","372","162","1464.1","662","5.19","2.85","0.63",".283","70.8 %","","","3.59","3.50","","23.4"
"1989","Blue Jays","89","73","38","439","162","1466.2","651","5.21","2.93","0.61",".279","71.4 %","","","3.59","3.55","","22.2"
"1920","White Sox","96","58","10","220","154","1386.1","662","2.84","2.63","0.29",".294","67.3 %","","","3.59","3.47","","16.5"
"1952","Giants","92","62","31","380","154","1371.0","639","4.30","3.53","0.79",".259","72.1 %","","","3.59","3.84","","9.9"
"1942","Browns","82","69","13","291","151","1363.0","637","3.22","3.33","0.42",".275","70.0 %","","","3.59","3.47","","15.8"
"1954","Phillies","74","79","12","292","153","1365.1","614","3.76","2.97","0.88",".260","73.4 %","","","3.59","3.86","","16.6"
"1942","Indians","75","79","11","318","156","1402.2","659","2.87","3.59","0.39",".263","69.0 %","","","3.59","3.59","","7.6"
"1978","Cardinals","69","93","22","420","162","1437.2","657","5.38","3.76","0.59",".270","70.8 %","","","3.59","3.56","","11.9"
"1958","Tigers","77","77","19","374","154","1357.1","606","5.28","2.90","0.88",".270","73.5 %","","","3.59","3.63","","18.2"
"2001","Braves","88","74","41","573","162","1447.1","643","7.05","3.10","0.95",".283","74.5 %","","","3.59","3.96","","21.1"
"1974","Expos","79","82","27","384","161","1429.0","657","5.18","3.43","0.62",".272","70.8 %","","","3.60","3.53","","17.3"
"1972","Expos","70","86","23","373","156","1401.1","609","5.70","3.72","0.66",".273","73.3 %","","","3.60","3.38","","14.0"
"1942","Cubs","68","86","14","305","155","1400.2","667","3.26","3.37","0.45",".279","69.9 %","","","3.60","3.51","","11.6"
"1969","Astros","81","81","34","418","162","1435.2","668","7.65","3.43","0.70",".293","71.1 %","","","3.60","3.03","","19.9"
"1979","Reds","90","71","40","442","161","1440.1","644","4.83","3.03","0.64",".279","71.8 %","","","3.60","3.64","","17.6"
"1959","Yankees","79","75","28","377","155","1399.0","647","5.38","3.82","0.77",".264","72.4 %","","","3.60","3.80","","12.1"
"1960","White Sox","87","67","26","408","154","1381.0","617","4.53","3.47","0.83",".269","74.3 %","","","3.60","3.91","","12.3"
"1935","Yankees","89","60","13","269","149","1331.0","632","4.02","3.49","0.62",".264","69.9 %","","","3.60","4.24","","11.2"
"2005","Indians","93","69","51","571","162","1452.2","642","6.51","2.56","0.97",".275","73.6 %","44.8 %","10.2 %","3.61","3.92","3.97","19.2"
"1958","White Sox","82","72","25","359","155","1389.2","615","4.86","3.34","0.98",".260","75.1 %","","","3.61","3.97","","10.0"
"1977","Pirates","96","66","39","440","162","1481.2","665","5.41","2.95","0.91",".269","73.2 %","","","3.61","3.87","","16.8"
"1971","Cubs","83","79","13","364","162","1444.0","648","5.61","2.56","0.82",".287","72.9 %","","","3.61","3.30","","23.0"
"1982","Phillies","89","73","33","449","162","1456.1","654","6.19","2.92","0.53",".290","69.9 %","","","3.61","3.14","","22.7"
"1976","Cardinals","72","90","26","460","162","1453.2","671","4.53","3.60","0.56",".277","71.3 %","","","3.61","3.70","","7.9"
"1992","Giants","72","90","30","548","162","1461.0","647","5.71","3.09","0.79",".277","73.2 %","","","3.61","3.76","","9.5"
"2005","White Sox","99","63","54","574","162","1475.2","645","6.34","2.80","1.02",".275","75.4 %","43.6 %","10.5 %","3.61","4.12","4.14","23.0"
"1969","Pirates","88","74","33","429","162","1445.2","652","7.00","3.44","0.60",".291","71.3 %","","","3.61","3.04","","20.5"
"2013","Tigers","93","69","39","590","162","1462.2","624","8.79","2.84","0.79",".306","73.7 %","45.4 %","9.2 %","3.61","3.27","3.43","26.8"
"1990","White Sox","94","68","68","529","162","1449.1","633","5.68","3.40","0.66",".270","72.3 %","","","3.61","3.71","","16.4"
"1962","Dodgers","102","63","46","414","165","1488.2","697","6.67","3.55","0.70",".280","71.0 %","","","3.62","3.39","","17.5"
"1946","Indians","68","86","13","326","156","1388.2","637","5.11","4.21","0.54",".269","71.6 %","","","3.62","3.47","","10.8"
"1984","Phillies","81","81","35","449","162","1458.1","690","5.58","2.76","0.62",".279","68.5 %","","","3.62","3.39","","16.4"
"1924","Giants","93","60","21","302","154","1378.2","641","2.65","2.56","0.50",".279","69.8 %","","","3.62","4.07","","9.4"
"1983","Padres","81","81","44","457","163","1467.2","653","5.21","3.24","0.88",".269","74.1 %","","","3.62","4.01","","9.1"
"1990","Astros","75","87","37","510","162","1450.0","656","5.30","3.08","0.81",".274","72.9 %","","","3.62","3.90","","8.5"
"1947","Braves","86","68","13","321","154","1362.2","622","3.26","2.99","0.61",".266","70.9 %","","","3.62","3.68","","18.4"
"2015","Nationals","83","79","41","630","162","1434.2","635","8.42","2.28","0.91",".300","72.7 %","44.7 %","10.3 %","3.62","3.45","3.58","21.8"
"1938","Reds","82","68","16","281","151","1362.0","633","3.58","3.06","0.50",".266","68.9 %","","","3.62","3.89","","12.8"
"1921","Cardinals","87","66","16","309","154","1371.2","681","3.04","2.62","0.40",".290","67.6 %","","","3.62","3.96","","10.2"
"1938","Giants","83","67","18","294","152","1349.0","637","3.32","2.60","0.58",".271","68.9 %","","","3.62","3.94","","13.3"
"1978","Athletics","69","93","29","433","162","1433.1","690","4.71","3.65","0.67",".275","70.9 %","","","3.62","3.77","","13.4"
"1945","Athletics","52","98","8","273","153","1381.0","638","3.46","3.72","0.36",".276","70.4 %","","","3.62","3.58","","12.1"
"1985","Giants","62","100","24","483","162","1448.0","674","6.12","3.56","0.78",".274","71.7 %","","","3.62","3.67","","14.2"
"1923","Yankees","98","54","10","220","152","1380.2","622","3.30","3.20","0.44",".272","70.5 %","","","3.62","3.96","","13.7"
"1997","Dodgers","88","74","45","574","162","1459.1","645","7.60","3.37","1.01",".276","75.3 %","","","3.63","4.09","","14.7"
"1977","Yankees","100","62","34","316","162","1449.1","651","4.71","3.02","0.86",".268","73.3 %","","","3.63","3.99","","16.1"
"1981","Cardinals","59","43","33","322","103","943.0","417","3.70","2.77","0.50",".269","69.7 %","","","3.63","3.46","","7.9"
"1993","Giants","103","59","50","576","162","1456.2","636","6.07","2.73","1.04",".274","75.6 %","","","3.63","4.15","","12.2"
"1956","Yankees","97","57","35","335","154","1382.0","631","4.77","4.25","0.74",".266","74.0 %","","","3.63","3.88","","13.9"
"2013","Rangers","91","72","46","638","163","1463.1","636","8.05","3.06","0.97",".293","75.5 %","42.8 %","10.7 %","3.63","3.77","3.75","20.1"
"1978","Astros","74","88","23","380","162","1440.1","634","5.81","3.61","0.54",".275","71.7 %","","","3.63","3.34","","14.5"
"1984","Mets","90","72","50","440","162","1442.2","676","6.41","3.57","0.65",".287","70.9 %","","","3.63","3.53","","13.7"
"1920","Phillies","62","91","11","255","153","1380.2","714","2.73","2.89","0.23",".291","65.3 %","","","3.63","3.53","","15.9"
"1998","Padres","98","64","59","531","162","1454.2","635","7.53","3.10","0.86",".293","74.7 %","","","3.63","3.84","","21.4"
"1940","Indians","89","65","22","306","155","1375.0","637","4.49","3.35","0.56",".275","70.4 %","","","3.63","3.82","","15.1"
"2003","Athletics","96","66","48","526","162","1441.2","643","6.36","3.12","0.87",".274","73.6 %","46.6 %","9.8 %","3.63","4.03","4.21","22.4"
"1992","Red Sox","73","89","39","490","162","1448.2","669","5.86","3.32","0.66",".285","71.6 %","","","3.63","3.63","","20.4"
"1971","Tigers","91","71","32","427","162","1468.1","645","6.13","3.73","0.77",".274","74.5 %","","","3.63","3.55","","16.3"
"1947","White Sox","70","84","27","339","155","1391.0","661","3.38","3.90","0.49",".271","70.8 %","","","3.64","3.80","","11.4"
"1924","Robins","92","62","5","238","154","1376.0","676","4.17","2.64","0.38",".291","66.8 %","","","3.64","3.62","","17.9"
"1960","Tigers","71","83","25","363","154","1405.2","644","5.28","3.03","0.90",".267","73.1 %","","","3.64","3.77","","20.2"
"1944","Blue Jays","61","92","6","309","154","1395.1","657","3.20","2.96","0.32",".273","67.6 %","","","3.64","3.31","","17.3"
"2011","Brewers","96","66","47","596","162","1441.2","638","7.85","2.75","0.92",".288","73.2 %","44.7 %","9.7 %","3.64","3.59","3.58","21.0"
"1974","Twins","82","80","29","352","163","1455.1","669","5.78","3.17","0.71",".288","72.2 %","","","3.64","3.46","","20.5"
"1991","Expos","71","90","39","528","161","1440.1","655","5.68","3.65","0.69",".270","71.7 %","","","3.64","3.88","","10.9"
"1976","Brewers","66","95","27","363","161","1435.1","655","4.25","3.56","0.62",".275","72.4 %","","","3.64","3.85","","7.5"
"1980","Orioles","100","62","41","351","162","1460.0","640","4.86","3.13","0.83",".279","74.6 %","","","3.64","3.95","","15.5"
"1960","Cardinals","86","68","30","372","155","1371.0","616","5.95","3.35","0.83",".279","73.6 %","","","3.64","3.55","","19.6"
"1983","Orioles","98","64","38","387","162","1452.1","652","4.80","2.80","0.81",".279","72.9 %","","","3.64","3.81","","17.3"
"1939","Dodgers","84","69","13","295","157","1410.1","645","3.37","2.55","0.59",".270","70.2 %","","","3.64","3.99","","17.2"
"1953","Indians","92","62","15","290","155","1373.0","627","3.84","3.40","0.60",".266","71.3 %","","","3.64","3.82","","14.5"
"1968","Senators","65","96","28","457","161","1439.2","665","5.16","3.23","0.74",".277","72.2 %","","","3.64","3.47","","5.1"
"1999","Braves","103","59","45","556","162","1471.0","661","7.32","3.10","0.87",".289","73.3 %","","","3.65","3.85","","27.8"
"1989","Pirates","74","88","40","489","164","1487.2","680","5.00","3.26","0.73",".266","71.5 %","","","3.65","3.85","","9.3"
"1937","Yankees","102","52","21","257","157","1396.0","671","4.20","3.26","0.59",".279","70.0 %","","","3.65","4.07","","17.0"
"1976","Padres","73","89","18","420","162","1432.1","662","4.10","3.41","0.55",".268","70.1 %","","","3.65","3.69","","8.0"
"1927","Cubs","85","68","5","267","153","1385.0","661","3.02","3.34","0.32",".282","69.2 %","","","3.65","4.02","","11.7"
"1944","Indians","72","82","18","355","155","1419.1","677","3.32","3.94","0.25",".281","69.3 %","","","3.65","3.54","","6.6"
"1978","Brewers","93","69","24","335","162","1436.0","650","3.62","2.49","0.68",".270","71.2 %","","","3.65","3.69","","14.8"
"1989","Indians","73","89","38","449","162","1453.0","654","5.23","2.80","0.66",".280","71.2 %","","","3.65","3.54","","18.8"
"1988","Royals","84","77","32","414","161","1428.1","648","5.58","2.93","0.64",".288","71.5 %","","","3.65","3.50","","19.3"
"1973","Red Sox","89","73","33","306","162","1440.1","647","5.05","3.12","0.99",".274","75.3 %","","","3.66","3.98","","16.7"
"1973","Cubs","77","84","40","410","161","1437.2","655","5.54","2.74","0.80",".291","73.0 %","","","3.66","3.47","","22.1"
"1952","Cardinals","88","66","27","362","154","1361.1","630","4.71","3.31","0.79",".262","71.7 %","","","3.66","3.65","","14.1"
"1989","Astros","86","76","38","508","162","1479.1","669","5.87","3.35","0.64",".274","71.1 %","","","3.66","3.55","","10.8"
"1980","Padres","73","89","39","459","163","1466.1","654","4.47","3.29","0.60",".284","72.5 %","","","3.66","3.74","","9.2"
"1931","Pirates","75","79","5","252","155","1390.0","691","2.23","2.86","0.36",".279","67.3 %","","","3.66","4.13","","11.5"
"1927","Pirates","94","60","10","263","156","1385.0","659","2.83","2.72","0.38",".270","67.2 %","","","3.66","3.90","","17.1"
"2009","Cardinals","91","71","43","643","162","1440.2","640","6.55","2.87","0.77",".292","73.2 %","49.8 %","8.7 %","3.66","3.82","4.00","19.6"
"1953","Senators","76","76","10","284","152","1344.2","614","3.45","3.20","0.75",".264","72.5 %","","","3.66","4.03","","11.3"
"1978","Angels","87","75","33","355","162","1455.2","666","5.51","3.70","0.77",".275","73.3 %","","","3.67","3.78","","13.0"
"1978","Tigers","86","76","21","319","162","1455.2","653","4.23","3.11","0.83",".273","74.1 %","","","3.67","3.96","","14.9"
"1985","Astros","83","79","42","444","162","1458.0","691","5.61","3.35","0.73",".278","70.8 %","","","3.67","3.67","","9.5"
"1982","Giants","87","75","45","485","162","1465.1","687","4.97","2.86","0.67",".290","71.0 %","","","3.67","3.58","","11.3"
"1982","Reds","61","101","31","455","162","1460.1","661","6.15","3.51","0.65",".290","72.4 %","","","3.67","3.51","","17.0"
"1926","Pirates","84","69","18","288","157","1379.1","686","2.53","2.97","0.33",".275","66.6 %","","","3.67","3.89","","15.4"
"1928","Giants","93","61","16","281","155","1394.0","653","2.58","2.61","0.50",".275","69.2 %","","","3.67","3.96","","14.9"
"2014","Brewers","82","80","45","640","162","1457.2","657","7.69","2.66","1.03",".289","74.0 %","45.6 %","11.3 %","3.67","3.89","3.65","13.6"
"1926","Cardinals","89","65","6","274","156","1398.2","678","2.35","2.55","0.49",".269","67.1 %","","","3.67","3.99","","12.9"
"1944","Braves","65","89","12","287","155","1388.1","681","2.94","3.42","0.52",".274","69.4 %","","","3.67","3.81","","10.9"
"1995","Dodgers","78","66","37","499","144","1295.0","609","7.37","3.21","0.87",".280","71.3 %","","","3.67","3.88","","16.4"
"1997","Astros","84","78","37","516","162","1459.0","660","7.02","3.15","0.83",".287","73.1 %","","","3.67","3.90","","16.5"
"1925","Senators","96","55","21","297","152","1358.1","665","3.07","3.60","0.32",".289","69.3 %","","","3.67","4.17","","13.4"
"1972","Phillies","59","97","15","419","156","1400.0","635","5.96","3.45","0.75",".278","72.6 %","","","3.67","3.37","","15.4"
"1983","Braves","88","74","48","467","162","1440.2","640","5.59","3.37","0.82",".283","74.6 %","","","3.67","3.88","","14.8"
"2005","Angels","95","67","54","541","162","1464.1","643","6.92","2.72","0.97",".288","75.0 %","41.2 %","9.2 %","3.68","3.89","4.11","21.4"
"1962","Braves","86","76","24","368","162","1434.2","665","5.03","2.55","0.95",".278","72.9 %","","","3.68","3.79","","12.7"
"1992","Mets","72","90","34","495","162","1446.2","653","6.38","3.00","0.61",".292","71.1 %","","","3.68","3.32","","17.5"
"1983","Mets","68","94","33","436","162","1451.0","680","4.45","3.81","0.60",".272","71.1 %","","","3.68","3.95","","7.8"
"2012","Giants","94","68","53","688","162","1451.0","649","7.67","3.03","0.88",".289","73.6 %","46.0 %","9.9 %","3.68","3.78","3.95","12.9"
"1967","Athletics","62","99","34","426","161","1428.0","660","6.24","3.52","0.79",".265","71.2 %","","","3.68","3.54","","12.0"
"2015","Indians","81","80","38","637","161","1432.2","640","8.84","2.67","1.01",".288","72.8 %","44.5 %","11.7 %","3.68","3.62","3.57","21.1"
"2008","Dodgers","84","78","35","623","162","1447.1","648","7.49","2.98","0.76",".295","72.6 %","49.6 %","9.3 %","3.68","3.67","3.77","23.2"
"1966","Braves","85","77","36","453","163","1469.1","683","5.41","2.97","0.79",".278","71.5 %","","","3.68","3.54","","13.4"
"1990","Padres","75","87","35","450","162","1461.2","673","5.71","3.12","0.91",".280","73.4 %","","","3.68","3.93","","14.4"
"1985","Phillies","75","87","30","477","162","1447.0","673","5.59","3.71","0.72",".284","72.8 %","","","3.68","3.76","","11.6"
"2010","Phillies","97","65","40","613","162","1456.1","640","7.31","2.57","1.04",".289","75.3 %","46.5 %","10.6 %","3.68","3.93","3.75","16.0"
"1955","Dodgers","98","55","37","363","154","1378.0","650","5.05","3.15","1.10",".259","73.5 %","","","3.68","3.92","","18.8"
"1934","Cardinals","95","58","16","300","154","1386.2","656","4.47","2.67","0.50",".291","69.5 %","","","3.69","3.81","","19.4"
"1985","Yankees","97","64","49","431","161","1440.1","660","5.67","3.24","0.98",".272","73.9 %","","","3.69","3.95","","17.5"
"1991","Cardinals","84","78","51","531","162","1435.1","648","5.15","2.85","0.71",".275","71.4 %","","","3.69","3.79","","13.8"
"2002","Angels","99","63","54","562","162","1452.1","644","6.19","3.15","1.05",".269","75.6 %","41.0 %","9.9 %","3.69","4.25","4.36","16.1"
"1983","White Sox","99","63","48","405","162","1445.0","650","5.46","2.78","0.80",".271","71.6 %","","","3.69","3.69","","20.6"
"2002","Athletics","103","59","48","570","162","1452.0","654","6.33","2.94","0.84",".281","73.3 %","46.6 %","9.0 %","3.69","3.87","4.09","23.1"
"1991","Angels","81","81","50","472","162","1441.2","649","6.18","3.39","0.88",".278","74.0 %","","","3.69","3.96","","18.3"
"2016","Giants","87","75","43","737","162","1460.1","631","8.07","2.71","0.97",".287","74.3 %","45.3 %","10.8 %","3.69","3.76","4.01","17.2"
"2002","Dodgers","92","70","56","585","162","1457.2","643","6.99","3.43","1.02",".270","75.5 %","42.5 %","10.7 %","3.69","4.12","4.11","16.4"
"1962","Orioles","77","85","33","415","162","1462.1","680","5.53","3.38","0.90",".268","72.8 %","","","3.69","3.88","","14.9"
"1945","White Sox","71","78","13","236","150","1330.2","633","3.29","3.03","0.43",".283","69.6 %","","","3.69","3.50","","11.7"
"1991","Twins","95","67","53","453","162","1449.1","652","5.44","3.03","0.86",".276","73.4 %","","","3.69","3.96","","15.2"
"1949","Yankees","97","57","36","314","155","1371.1","637","4.40","5.33","0.64",".258","74.3 %","","","3.69","4.32","","8.9"
"1987","Giants","90","72","38","510","162","1471.0","669","6.35","3.35","0.89",".284","73.9 %","","","3.70","3.92","","16.0"
"1981","Orioles","59","46","23","238","105","940.0","437","4.68","3.32","0.79",".277","72.5 %","","","3.70","3.86","","6.8"
"1962","Angels","86","76","47","507","162","1466.0","706","5.27","3.78","0.72",".273","71.7 %","","","3.70","3.85","","13.2"
"1921","Robins","77","75","12","258","152","1363.1","681","3.11","2.38","0.30",".304","67.3 %","","","3.70","3.72","","15.7"
"2005","Athletics","88","74","38","572","162","1450.1","658","6.67","3.13","0.96",".271","73.4 %","44.0 %","10.2 %","3.70","4.08","4.14","18.3"
"1971","Senators","63","95","26","474","159","1418.2","660","4.83","3.51","0.84",".273","73.5 %","","","3.70","3.85","","5.7"
"1972","Giants","69","86","23","374","155","1386.1","649","5.01","3.29","0.84",".265","72.0 %","","","3.70","3.67","","8.5"
"1951","Reds","68","86","23","359","155","1390.2","667","3.78","3.17","0.77",".263","71.0 %","","","3.70","3.90","","16.1"
"2002","Cardinals","97","65","42","634","162","1446.1","648","6.28","3.40","0.88",".277","74.5 %","43.7 %","9.1 %","3.70","4.09","4.30","14.2"
"1962","Yankees","96","66","42","410","162","1470.1","680","5.13","3.05","0.89",".262","72.0 %","","","3.70","3.85","","15.5"
"1945","Dodgers","87","67","18","318","155","1392.1","720","3.60","3.79","0.48",".266","67.1 %","","","3.70","3.77","","12.8"
"1966","Senators","71","88","35","454","159","1419.0","659","5.49","2.84","0.98",".257","71.2 %","","","3.70","3.74","","9.4"
"1979","Padres","68","93","25","440","161","1453.0","681","4.83","3.18","0.67",".281","70.9 %","","","3.70","3.73","","11.4"
"2016","Dodgers","91","71","47","768","162","1453.0","638","9.35","2.87","1.02",".288","73.8 %","42.8 %","11.7 %","3.70","3.61","3.75","22.9"
"1978","Twins","73","89","26","338","162","1459.2","678","4.33","3.21","0.63",".282","71.5 %","","","3.71","3.67","","17.4"
"1981","Angels","51","59","19","265","110","971.1","453","3.95","2.99","0.75",".271","71.4 %","","","3.71","3.87","","7.7"
"1933","Indians","75","76","7","275","151","1350.0","669","2.91","3.10","0.40",".273","67.1 %","","","3.71","3.80","","18.6"
"1970","Reds","102","60","60","414","162","1444.2","681","5.25","3.69","0.74",".272","71.8 %","","","3.71","3.82","","12.0"
"1985","Reds","89","72","45","449","162","1451.1","666","5.64","3.32","0.81",".270","71.8 %","","","3.71","3.74","","14.5"
"1970","Pirates","89","73","43","450","162","1453.2","664","6.13","3.87","0.66",".288","72.8 %","","","3.71","3.59","","17.5"
"1977","Phillies","101","61","47","408","162","1455.2","668","5.29","2.98","0.83",".284","72.9 %","","","3.71","3.80","","17.5"
"2012","Cardinals","88","74","42","668","162","1462.2","648","7.49","2.68","0.82",".298","73.2 %","48.5 %","10.4 %","3.71","3.62","3.72","17.9"
"1939","Bees","63","88","15","296","152","1358.1","654","2.85","3.40","0.42",".276","69.3 %","","","3.71","4.12","","7.3"
"2013","Marlins","62","100","36","633","162","1460.0","646","7.26","3.24","0.75",".292","73.2 %","45.3 %","8.4 %","3.71","3.69","3.96","12.9"
"1950","Giants","86","68","15","333","154","1375.0","643","3.90","3.51","0.92",".251","72.7 %","","","3.71","4.28","","13.6"
"1989","Braves","63","97","33","501","161","1447.2","680","6.01","2.91","0.71",".278","69.3 %","","","3.71","3.45","","19.0"
"2011","Athletics","74","88","39","622","162","1447.2","679","7.21","3.23","0.85",".289","72.1 %","44.1 %","8.5 %","3.71","3.80","3.98","16.5"
"1984","Orioles","85","77","32","370","162","1439.1","667","4.46","3.20","0.86",".268","72.6 %","","","3.71","4.13","","13.1"
"1971","Phillies","67","95","25","415","162","1470.2","688","5.13","3.21","0.81",".270","71.6 %","","","3.71","3.62","","11.6"
