"Season","Team","W","L","SV","G","GS","IP","R","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"1968","White Sox","67","95","40","484","162","1468.0","527","5.11","2.76","0.59",".258","76.6 %","","","2.75","3.16","","13.2"
"1917","Senators","74","79","10","255","157","1413.0","567","4.06","3.42","0.08",".268","69.0 %","","","2.75","2.69","","14.4"
"1918","Browns","58","64","8","202","123","1111.1","448","2.80","3.26","0.09",".259","69.3 %","","","2.75","2.90","","9.8"
"1916","Pirates","65","89","7","259","157","1419.2","586","3.78","2.81","0.15",".264","67.9 %","","","2.76","2.71","","11.8"
"1917","Braves","72","81","3","238","157","1424.2","558","3.75","2.34","0.12",".268","68.5 %","","","2.77","2.45","","14.0"
"1916","Yankees","80","74","17","258","156","1428.0","561","3.88","3.00","0.23",".272","70.4 %","","","2.77","2.89","","12.6"
"1917","Robins","70","81","9","237","156","1421.1","566","3.69","2.56","0.20",".263","69.2 %","","","2.78","2.68","","12.3"
"1954","Indians","111","43","36","316","156","1419.1","504","4.30","3.08","0.56",".246","76.3 %","","","2.78","3.32","","19.9"
"1972","Dodgers","85","70","29","331","155","1403.0","527","5.49","2.75","0.53",".253","73.4 %","","","2.78","2.94","","17.5"
"1968","Yankees","83","79","27","368","164","1467.1","531","5.10","2.60","0.61",".260","75.8 %","","","2.79","3.06","","13.0"
"1920","Giants","86","68","9","258","155","1408.2","543","2.43","1.90","0.28",".266","70.5 %","","","2.80","3.29","","12.2"
"1918","Robins","57","69","2","177","126","1131.2","459","3.14","2.54","0.17",".260","68.1 %","","","2.81","2.71","","11.8"
"1965","Dodgers","97","65","34","364","162","1476.0","521","6.58","2.59","0.77",".252","77.2 %","","","2.81","3.10","","15.6"
"1972","Pirates","96","59","48","360","155","1414.1","512","5.33","2.76","0.57",".268","76.1 %","","","2.81","3.02","","18.2"
"1942","Reds","76","76","8","269","154","1411.2","545","3.93","3.35","0.30",".248","71.7 %","","","2.82","3.14","","17.4"
"1919","Yankees","80","59","7","231","141","1287.0","512","3.50","3.03","0.33",".259","71.2 %","","","2.82","3.28","","11.2"
"1969","Orioles","109","53","36","397","162","1473.2","517","5.48","3.04","0.71",".243","77.2 %","","","2.83","3.38","","20.5"
"1942","Dodgers","104","50","24","320","155","1398.2","512","3.94","3.17","0.47",".246","74.8 %","","","2.84","3.35","","16.3"
"1963","Dodgers","99","63","29","372","163","1469.2","550","6.71","2.46","0.68",".274","75.5 %","","","2.85","2.86","","17.7"
"1972","Twins","77","77","34","357","154","1399.1","535","5.39","2.86","0.68",".250","74.5 %","","","2.86","3.21","","15.2"
"1919","Pirates","71","68","4","193","139","1249.0","466","2.82","1.90","0.17",".252","68.6 %","","","2.88","2.82","","15.5"
"1920","Pirates","79","75","10","240","155","1415.1","552","2.82","1.78","0.16",".272","68.9 %","","","2.89","3.00","","19.7"
"1968","Twins","79","83","29","391","162","1433.1","546","6.25","2.60","0.58",".259","73.1 %","","","2.89","2.78","","23.1"
"1981","Yankees","59","48","30","268","107","948.0","343","5.75","2.72","0.61",".263","75.5 %","","","2.90","3.14","","15.6"
"1920","Reds","82","71","9","236","154","1391.2","569","2.81","2.54","0.17",".268","69.0 %","","","2.90","3.29","","10.9"
"1918","Braves","53","71","0","155","124","1117.1","469","2.74","2.23","0.11",".277","67.8 %","","","2.90","2.59","","10.5"
"1916","Indians","77","77","16","297","157","1410.0","602","3.43","2.98","0.10",".292","68.9 %","","","2.90","2.76","","17.6"
"1942","Yankees","103","51","17","243","154","1375.0","507","3.65","2.82","0.46",".259","74.7 %","","","2.91","3.25","","17.3"
"1988","Mets","100","60","46","401","160","1439.0","532","6.88","2.53","0.49",".276","73.3 %","","","2.91","2.86","","25.6"
"1964","Angels","82","80","41","447","162","1450.2","551","5.99","3.29","0.62",".266","76.0 %","","","2.91","3.37","","17.7"
"1968","Braves","81","81","29","362","163","1474.2","549","5.32","2.21","0.53",".265","73.3 %","","","2.92","2.77","","16.1"
"1967","Giants","91","71","25","377","162","1474.1","551","6.04","2.77","0.69",".261","75.5 %","","","2.92","3.17","","17.2"
"1975","Dodgers","88","74","21","330","162","1469.1","534","5.48","2.74","0.64",".245","74.9 %","","","2.92","3.26","","20.6"
"1945","Senators","87","67","11","266","156","1412.2","562","3.50","2.80","0.27",".258","70.5 %","","","2.92","3.11","","17.5"
"1943","Yankees","98","56","13","253","155","1415.1","542","4.15","3.11","0.38",".252","72.2 %","","","2.93","3.10","","18.8"
"1933","Cubs","86","68","9","251","154","1362.0","536","3.22","2.73","0.34",".266","72.5 %","","","2.93","3.54","","12.4"
"1919","Indians","84","55","10","232","139","1245.0","539","3.12","2.62","0.14",".289","68.2 %","","","2.93","2.94","","17.6"
"2015","Cardinals","100","62","62","677","162","1464.2","525","8.17","2.93","0.76",".297","79.4 %","48.0 %","9.4 %","2.94","3.48","3.71","21.4"
"1969","Cardinals","87","75","26","345","162","1460.1","540","6.19","3.15","0.61",".269","76.3 %","","","2.94","3.13","","22.0"
"1968","Athletics","82","80","29","415","163","1455.2","544","6.16","3.12","0.77",".252","76.6 %","","","2.94","3.23","","9.8"
"1976","Mets","86","76","25","345","162","1449.0","538","6.37","2.60","0.60",".265","74.1 %","","","2.94","3.00","","23.4"
"1989","Dodgers","77","83","36","445","160","1463.1","536","6.47","3.10","0.58",".272","76.0 %","","","2.95","3.26","","19.6"
"1964","Dodgers","80","82","27","377","164","1483.2","572","6.44","2.78","0.53",".266","72.8 %","","","2.95","2.93","","18.8"
"1972","Tigers","86","70","33","404","156","1388.1","514","6.17","3.01","0.65",".266","76.5 %","","","2.96","3.08","","17.6"
"1974","Athletics","90","72","28","378","162","1439.2","551","4.72","2.69","0.56",".266","74.3 %","","","2.96","3.29","","23.7"
"1933","Braves","83","71","16","258","156","1403.0","531","2.46","2.28","0.35",".266","72.9 %","","","2.96","3.53","","10.4"
"1988","Dodgers","94","67","49","457","162","1463.1","544","6.33","2.91","0.52",".272","74.4 %","","","2.96","3.12","","19.7"
"1918","Cardinals","51","78","5","210","131","1193.0","527","2.72","2.66","0.12",".271","66.8 %","","","2.96","2.79","","9.1"
"1972","Indians","72","84","24","411","156","1410.0","519","5.40","3.41","0.79",".256","78.8 %","","","2.97","3.55","","10.9"
"1916","Tigers","87","67","13","281","155","1410.0","595","3.39","3.69","0.08",".276","69.2 %","","","2.97","3.03","","11.1"
"1918","Yankees","60","63","13","214","126","1157.1","474","2.88","3.60","0.19",".278","72.0 %","","","2.97","3.17","","6.5"
"1963","White Sox","94","68","39","373","162","1469.0","544","5.71","2.70","0.61",".266","75.4 %","","","2.97","3.06","","22.7"
"1944","Reds","89","65","12","251","155","1398.1","536","2.31","2.47","0.39",".249","71.9 %","","","2.97","3.45","","15.4"
"1945","Cubs","98","56","14","290","155","1366.1","533","3.56","2.54","0.38",".265","72.2 %","","","2.98","3.18","","21.0"
"1974","Dodgers","102","60","23","371","162","1465.1","561","5.79","2.85","0.69",".257","74.8 %","","","2.98","3.28","","22.9"
"1919","Senators","56","84","10","239","142","1274.1","571","3.79","3.19","0.14",".286","68.0 %","","","2.98","3.00","","13.2"
"1965","Orioles","94","68","41","390","162","1477.2","578","5.72","3.11","0.73",".255","74.9 %","","","2.98","3.39","","16.2"
"1969","Mets","100","62","35","365","162","1468.1","541","6.20","3.17","0.73",".252","76.6 %","","","2.99","3.30","","17.3"
