"Season","Team","Inn","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","CPP","RPP","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"2010","Nationals","12915.0","2","-7","0","-6","8","-10","2302","1895",".823","444","67","8.6","","2","-5.5","-5.6","26.7","-14.0","1.6","-1.2","14.2"
"2012","Dodgers","13047.0","0","-8","5","2","3","3","2107","1795",".852","393","59","-0.6","","-16","4.9","-6.8","9.5","1.8","9.4","1.8","13.8"
"2014","Athletics","13170.0","-4","-3","9","10","17","25","2210","1849",".837","483","65","-3.6","","7","-1.8","-2.6","37.1","-8.4","24.3","2.7","13.7"
"2015","Cardinals","13182.0","0","0","-9","-3","22","15","2148","1753",".816","500","","","","15","-3.2","0.6","9.1","4.1","10.7","0.8","13.7"
"2002","Devil Rays","12963.0","0","0","0","0","0","0","0","0","","0","","","","","4.4","1.4","15.6","-7.9","13.5","2.5","13.5"
"2010","Rangers","13098.0","-4","-1","-8","2","5","-19","2268","1894",".835","442","46","-4.9","","10","1.7","-4.7","32.8","-4.3","25.5","3.3","12.6"
"2015","Red Sox","13035.0","3","-8","7","-12","8","2","2137","1760",".824","571","","","","2","-5.1","-2.1","5.2","5.1","3.0","-0.7","12.0"
"2007","Cardinals","12921.0","4","-3","-1","8","29","48","2476","2020",".816","430","","","","","-0.6","-3.1","23.1","-17.7","1.8","0.0","11.8"
"2006","Athletics","13065.0","6","6","3","1","-21","4","2504","2068",".826","350","","","","","-4.7","-2.2","-2.2","12.8","3.6","-0.4","11.6"
"2015","Braves","12828.0","0","6","-13","-8","-6","-16","2215","1793",".810","484","","","","-17","-5.2","5.5","4.4","2.9","7.6","0.5","11.6"
"2007","Nationals","13020.0","1","3","-9","-3","-7","-14","2492","2049",".822","383","","","","","-8.3","4.0","21.1","-10.4","6.3","0.0","11.3"
"2016","Astros","13212.0","3","7","20","5","16","51","1998","1589",".795","672","","","","","20.4","-0.9","-6.7","-5.7","7.2","3.8","11.2"
"2011","Brewers","12975.0","-6","6","-8","1","18","11","2150","1789",".832","511","74","-1.0","","-62","-8.7","2.1","36.0","-11.3","18.1","1.1","11.1"
"2016","Reds","12978.0","3","-3","1","10","-29","-25","2151","1779",".827","486","","","","","-0.8","-3.7","17.1","-6.5","6.0","0.5","11.0"
"2006","Padres","13173.0","-6","-3","-9","-2","61","27","2378","2009",".845","363","","","","","-9.2","-1.4","33.1","8.4","30.9","1.8","10.9"
