Year,Team,AVG,ISO,WAR,Spd,Def,lgID,W,L,DivWin,WCWin,LgWin,WSWin,playoffs
1991,Tigers,0.247,0.169,29.6,4.6,31.9,AL,84,78,N,,N,N,False
2004,Braves,0.27,0.164,29.0,4.7,71.5,NL,96,66,Y,N,N,N,True
2004,Astros,0.267,0.169,24.7,4.8,48.7,NL,92,70,N,Y,N,N,True
2002,Angels,0.282,0.15,28.2,4.9,16.5,AL,99,63,N,Y,Y,Y,True
2009,Brewers,0.263,0.164,24.9,4.3,36.5,NL,80,82,N,N,N,N,False
2012,Rangers,0.273,0.173,24.8,4.5,-10.1,AL,93,69,N,Y,N,N,True
1986,Rangers,0.267,0.16,20.2,4.5,-19.3,AL,87,75,N,,N,N,False
1994,Twins,0.276,0.15,12.0,5.2,-5.4,AL,53,60,,,,,False
2001,Diamondbacks,0.267,0.175,26.0,4.4,88.6,NL,92,70,Y,N,Y,Y,True
2002,Diamondbacks,0.267,0.156,22.1,4.7,36.6,NL,98,64,Y,N,N,N,True
2003,Twins,0.277,0.154,24.0,4.8,5.4,AL,90,72,Y,N,N,N,True
1988,Blue Jays,0.268,0.151,29.0,5.2,2.8,AL,87,75,N,,N,N,False
2007,Devil Rays/Rays,0.268,0.165,17.6,5.1,-66.0,AL,66,96,N,N,N,N,False
2002,Mariners,0.275,0.144,31.3,4.8,8.8,AL,93,69,N,N,N,N,False
1999,White Sox,0.277,0.152,12.2,4.6,-37.7,AL,75,86,N,N,N,N,False
2005,Phillies,0.27,0.154,29.3,5.1,88.2,NL,88,74,N,N,N,N,False
2007,Reds,0.267,0.17,15.5,4.3,8.4,NL,72,90,N,N,N,N,False
1990,Tigers,0.259,0.15,22.5,4.0,-37.9,AL,79,83,N,,N,N,False
2001,Cardinals,0.27,0.172,31.1,4.6,103.0,NL,93,69,N,Y,N,N,True
2008,Devil Rays/Rays,0.26,0.162,31.1,5.1,52.0,AL,97,65,Y,N,Y,N,True
2010,Twins,0.273,0.148,26.6,4.5,13.7,AL,94,68,Y,N,N,N,True
1987,Mets,0.267,0.166,30.7,5.1,24.6,NL,92,70,N,,N,N,False
1995,Astros,0.275,0.124,22.2,5.0,-9.5,NL,76,68,N,N,N,N,False
2008,Indians,0.262,0.162,23.9,4.3,-0.4,AL,81,81,N,N,N,N,False
1986,Blue Jays,0.269,0.157,22.8,4.6,-15.1,AL,86,76,N,,N,N,False
2011,Cardinals,0.273,0.151,28.4,3.6,2.7,NL,90,72,N,Y,Y,Y,True
2006,Twins,0.287,0.138,22.7,4.6,13.5,AL,96,66,Y,N,N,N,True
1999,Tigers,0.261,0.181,15.5,4.7,19.8,AL,69,92,N,N,N,N,False
2008,Phillies,0.255,0.182,31.4,5.4,107.5,NL,92,70,Y,N,Y,Y,True
1999,Cardinals,0.262,0.163,17.2,4.9,38.5,NL,75,86,N,N,N,N,False
2010,Brewers,0.262,0.161,26.8,4.4,30.4,NL,77,85,N,N,N,N,False
2000,Red Sox,0.267,0.156,16.4,3.7,21.3,AL,85,77,N,N,N,N,False
1992,Athletics,0.258,0.129,30.5,4.4,-11.9,AL,96,66,Y,,N,N,True
2006,Tigers,0.274,0.174,21.8,4.4,23.4,AL,95,67,N,Y,Y,N,True
1992,Orioles,0.259,0.138,25.4,4.1,-5.6,AL,89,73,N,,N,N,False
1999,Dodgers,0.266,0.154,22.1,4.7,48.2,NL,77,85,N,N,N,N,False
2002,Twins,0.272,0.165,25.7,4.4,45.0,AL,94,67,Y,N,N,N,True
1993,Rangers,0.267,0.164,20.1,5.0,-12.0,AL,86,76,N,,N,N,False
2006,Mets,0.264,0.181,28.1,5.6,66.4,NL,97,65,Y,N,N,N,True
1997,White Sox,0.273,0.144,17.2,4.5,-43.1,AL,80,81,N,N,N,N,False
2004,Angels,0.282,0.147,23.4,5.4,1.4,AL,92,70,Y,N,N,N,True
2010,Blue Jays,0.248,0.206,21.9,4.0,-20.8,AL,85,77,N,N,N,N,False
1987,Mariners,0.272,0.156,16.1,5.6,-37.0,AL,78,84,N,,N,N,False
1994,Braves,0.267,0.167,17.9,4.0,59.4,NL,68,46,,,,,False
2006,Rockies,0.27,0.163,13.5,4.9,39.3,NL,76,86,N,N,N,N,False
1990,Blue Jays,0.265,0.155,26.5,5.1,8.4,AL,86,76,N,,N,N,False
2000,Pirates,0.267,0.157,10.6,4.4,-14.3,NL,69,93,N,N,N,N,False
2003,Astros,0.263,0.169,26.4,4.3,76.6,NL,87,75,N,N,N,N,False
1999,Devil Rays/Rays,0.274,0.137,6.8,4.1,-71.2,AL,69,93,N,N,N,N,False
2009,Indians,0.264,0.153,16.1,4.4,-54.8,AL,65,97,N,N,N,N,False
2010,Rockies,0.263,0.162,14.7,5.3,8.7,NL,83,79,N,N,N,N,False
1996,Braves,0.27,0.162,25.0,4.2,80.4,NL,96,66,Y,N,Y,N,True
2010,Rangers,0.276,0.143,21.7,4.5,0.9,AL,90,72,Y,N,Y,N,True
2008,Orioles,0.267,0.162,18.4,4.4,-11.0,AL,68,93,N,N,N,N,False
2007,Mariners,0.287,0.138,15.3,4.3,-68.4,AL,88,74,N,N,N,N,False
1991,Red Sox,0.269,0.133,22.1,3.6,13.6,AL,84,78,N,,N,N,False
1986,Twins,0.261,0.167,15.5,4.3,-45.8,AL,71,91,N,,N,N,False
1987,Rangers,0.266,0.165,14.3,4.9,-49.7,AL,75,87,N,,N,N,False
1993,White Sox,0.265,0.146,26.7,4.7,41.3,AL,94,68,Y,,N,N,True
2007,Angels,0.284,0.133,21.6,4.8,2.0,AL,94,68,Y,N,N,N,True
1990,Red Sox,0.272,0.123,15.3,3.5,-55.0,AL,88,74,Y,,N,N,True
2001,Red Sox,0.266,0.173,14.2,3.7,-67.4,AL,82,79,N,N,N,N,False
2003,Phillies,0.261,0.158,26.4,4.3,59.1,NL,86,76,N,N,N,N,False
2008,Mets,0.266,0.154,28.6,5.2,66.1,NL,89,73,N,N,N,N,False
2001,Twins,0.272,0.161,21.8,5.1,13.0,AL,85,77,N,N,N,N,False
2006,Reds,0.257,0.175,19.8,4.2,31.1,NL,80,82,N,N,N,N,False
2009,Marlins,0.268,0.148,20.0,4.2,14.4,NL,87,75,N,N,N,N,False
1987,Athletics,0.26,0.168,20.7,4.9,-42.8,AL,81,81,N,,N,N,False
2003,Royals,0.274,0.153,12.5,5.3,-57.8,AL,83,79,N,N,N,N,False
2008,Braves,0.27,0.138,21.1,3.9,18.2,NL,72,90,N,N,N,N,False
2000,Diamondbacks,0.265,0.164,15.6,4.8,59.2,NL,85,77,N,N,N,N,False
1988,Athletics,0.263,0.136,31.4,4.6,-6.3,AL,104,58,Y,,Y,N,True
2010,White Sox,0.268,0.152,14.8,4.7,-58.4,AL,88,74,N,N,N,N,False
2009,Dodgers,0.27,0.141,25.8,4.9,34.1,NL,95,67,Y,N,N,N,True
2001,Yankees,0.267,0.168,17.3,4.9,-73.8,AL,95,65,Y,N,Y,N,True
1994,Blue Jays,0.269,0.155,7.6,5.1,-42.5,AL,55,60,,,,,False
2005,Braves,0.265,0.17,29.6,4.8,96.7,NL,90,72,Y,N,N,N,True
1992,Twins,0.277,0.115,23.9,4.5,11.8,AL,90,72,N,,N,N,False
2012,Angels,0.274,0.159,37.5,4.8,45.7,AL,89,73,N,N,N,N,False
2009,Rangers,0.26,0.185,17.5,5.3,15.7,AL,87,75,N,N,N,N,False
1995,Rangers,0.265,0.144,12.7,4.4,8.0,AL,74,70,N,N,N,N,False
1997,Padres,0.271,0.136,11.9,4.3,-94.2,NL,76,86,N,N,N,N,False
2014,Tigers,0.277,0.15,23.4,4.7,-57.9,AL,90,72,Y,N,N,N,True
2006,Orioles,0.277,0.146,17.1,4.6,-2.7,AL,70,92,N,N,N,N,False
1989,Twins,0.276,0.125,20.0,4.6,-44.0,AL,80,82,N,,N,N,False
2002,Rockies,0.274,0.149,9.6,4.8,34.1,NL,73,89,N,N,N,N,False
2005,Cardinals,0.27,0.153,27.1,4.5,54.7,NL,100,62,Y,N,N,N,True
2002,Phillies,0.259,0.163,23.9,4.6,27.8,NL,80,81,N,N,N,N,False
2012,Rockies,0.274,0.163,9.3,5.1,-30.1,NL,64,98,N,N,N,N,False
1987,Yankees,0.262,0.156,21.7,4.0,3.0,AL,89,73,N,,N,N,False
1986,Angels,0.255,0.149,29.5,4.9,48.0,AL,92,70,Y,,N,N,True
2003,Mariners,0.271,0.139,31.1,4.7,62.6,AL,93,69,N,N,N,N,False
1995,Cubs,0.265,0.165,20.8,5.1,51.3,NL,73,71,N,N,N,N,False
2003,Pirates,0.267,0.153,21.0,4.6,29.3,NL,75,87,N,N,N,N,False
2006,Cardinals,0.269,0.163,23.3,4.0,46.0,NL,83,78,Y,N,Y,Y,True
1996,Blue Jays,0.259,0.161,11.1,5.1,-39.7,AL,74,88,N,N,N,N,False
2002,Cardinals,0.268,0.157,30.4,4.4,82.2,NL,97,65,Y,N,N,N,True
1995,Brewers,0.266,0.143,11.5,5.2,-14.0,AL,65,79,N,N,N,N,False
1993,Mariners,0.26,0.146,21.0,3.8,28.0,AL,82,80,N,,N,N,False
2008,Rockies,0.263,0.152,10.1,5.0,-22.6,NL,74,88,N,N,N,N,False
1994,Royals,0.269,0.15,8.0,5.9,-24.3,AL,64,51,,,,,False
1992,Yankees,0.261,0.144,22.8,3.9,-34.2,AL,76,86,N,,N,N,False
2008,Marlins,0.254,0.179,20.6,4.4,33.5,NL,84,77,N,N,N,N,False
1997,Astros,0.259,0.144,31.0,5.3,107.8,NL,84,78,Y,N,N,N,True
1998,Angels,0.272,0.144,8.2,4.5,-85.9,AL,85,77,N,N,N,N,False
2004,Twins,0.266,0.166,17.2,4.5,-15.6,AL,92,70,Y,N,N,N,True
2003,Giants,0.264,0.161,28.2,3.8,94.8,NL,100,61,Y,N,N,N,True
1999,Pirates,0.259,0.16,14.0,5.0,45.7,NL,78,83,N,N,N,N,False
1991,Pirates,0.263,0.135,31.0,5.3,23.1,NL,98,64,Y,,N,N,True
2010,Tigers,0.268,0.147,25.0,4.1,2.2,AL,81,81,N,N,N,N,False
2005,Orioles,0.269,0.165,18.8,4.3,-18.7,AL,74,88,N,N,N,N,False
2008,Brewers,0.253,0.179,25.2,4.9,61.6,NL,90,72,N,Y,N,N,True
1997,Marlins,0.259,0.135,21.9,4.4,35.0,NL,92,70,N,Y,Y,Y,True
1994,Red Sox,0.263,0.157,8.0,4.6,-5.7,AL,54,61,,,,,False
2002,Astros,0.262,0.156,18.6,4.2,33.4,NL,84,78,N,N,N,N,False
2012,Brewers,0.259,0.177,26.9,5.6,33.2,NL,83,79,N,N,N,N,False
1987,Twins,0.261,0.168,15.4,4.9,-7.3,AL,85,77,Y,,Y,Y,True
1994,Cardinals,0.263,0.151,18.3,4.6,63.6,NL,53,61,,,,,False
2012,Cardinals,0.271,0.15,28.3,4.7,28.9,NL,88,74,N,Y,N,N,True
1997,Giants,0.258,0.156,27.5,5.0,82.5,NL,90,72,Y,N,N,N,True
2005,Cubs,0.27,0.17,21.3,3.7,59.4,NL,79,83,N,N,N,N,False
2006,Marlins,0.264,0.171,20.2,4.8,20.0,NL,78,84,N,N,N,N,False
2007,Rangers,0.263,0.163,15.1,5.1,-26.5,AL,75,87,N,N,N,N,False
1996,Reds,0.256,0.166,16.1,5.4,2.0,NL,81,81,N,N,N,N,False
2004,Padres,0.273,0.141,25.9,3.9,22.3,NL,87,75,N,N,N,N,False
1987,Cubs,0.264,0.168,11.2,4.4,-36.2,NL,76,85,N,,N,N,False
2002,Blue Jays,0.261,0.169,18.9,4.9,-7.8,AL,78,84,N,N,N,N,False
2001,Cubs,0.261,0.169,20.6,4.1,29.3,NL,88,74,N,N,N,N,False
1990,Athletics,0.254,0.137,36.4,4.5,85.0,AL,103,59,Y,,Y,N,True
2007,Cubs,0.271,0.15,21.1,4.4,96.7,NL,85,77,Y,N,N,N,True
1997,Tigers,0.258,0.157,8.0,5.0,-80.9,AL,79,83,N,N,N,N,False
1993,Indians,0.275,0.133,17.9,5.1,-21.4,AL,76,86,N,,N,N,False
1993,Cardinals,0.272,0.123,24.3,4.8,23.5,NL,87,75,N,,N,N,False
1987,Reds,0.266,0.161,21.1,5.3,27.0,NL,84,78,N,,N,N,False
2006,Athletics,0.26,0.152,16.5,3.9,-8.1,AL,93,69,Y,N,N,N,True
1997,Dodgers,0.269,0.15,19.8,4.6,4.4,NL,88,74,N,N,N,N,False
2007,Athletics,0.256,0.151,17.2,3.3,-32.1,AL,76,86,N,N,N,N,False
2012,Tigers,0.268,0.154,18.7,4.3,-40.4,AL,88,74,Y,N,Y,N,True
1986,Mets,0.263,0.138,33.3,4.7,52.7,NL,108,54,Y,,Y,Y,True
1993,Rockies,0.273,0.149,10.0,5.7,10.9,NL,67,95,N,,N,N,False
1995,Marlins,0.262,0.144,19.5,4.9,41.3,NL,67,76,N,N,N,N,False
1991,Brewers,0.271,0.125,18.8,5.0,-49.4,AL,83,79,N,,N,N,False
1993,Braves,0.262,0.146,30.5,4.8,121.1,NL,104,58,Y,,N,N,True
2008,Twins,0.279,0.129,18.6,5.3,-35.2,AL,88,75,N,N,N,N,False
2009,Tigers,0.26,0.156,17.9,4.4,13.9,AL,86,77,N,N,N,N,False
2009,Orioles,0.268,0.147,10.2,3.9,-37.1,AL,64,98,N,N,N,N,False
1999,Cubs,0.257,0.163,10.4,4.1,20.0,NL,67,95,N,N,N,N,False
1991,White Sox,0.262,0.129,28.6,4.8,44.2,AL,87,75,N,,N,N,False
2005,Diamondbacks,0.256,0.165,12.4,3.9,-10.7,NL,77,85,N,N,N,N,False
1990,Pirates,0.259,0.146,31.7,5.1,55.8,NL,95,67,Y,,N,N,True
2010,Braves,0.258,0.143,21.5,4.1,15.7,NL,91,71,N,Y,N,N,True
2005,Devil Rays/Rays,0.274,0.151,20.6,5.4,-16.4,AL,67,95,N,N,N,N,False
2003,Marlins,0.266,0.155,23.4,5.1,41.8,NL,91,71,N,Y,Y,Y,True
2000,Expos/Nationals,0.266,0.165,8.3,4.1,1.2,NL,67,95,N,N,N,N,False
2004,Dodgers,0.262,0.161,28.0,4.5,96.9,NL,93,69,Y,N,N,N,True
2006,Angels,0.274,0.15,17.0,4.9,-12.1,AL,89,73,N,N,N,N,False
1994,Angels,0.264,0.145,7.9,3.8,-5.7,AL,47,68,,,,,False
1994,Dodgers,0.27,0.144,10.3,4.7,-38.9,NL,58,56,,,,,False
2005,Brewers,0.259,0.163,19.4,4.0,37.3,NL,81,81,N,N,N,N,False
2009,Expos/Nationals,0.258,0.148,15.7,4.2,-6.3,NL,59,103,N,N,N,N,False
2006,Expos/Nationals,0.262,0.156,19.5,4.3,18.8,NL,71,91,N,N,N,N,False
1997,Royals,0.264,0.143,18.6,4.6,33.8,AL,67,94,N,N,N,N,False
2009,Braves,0.263,0.142,18.9,3.7,29.4,NL,86,76,N,N,N,N,False
2007,Orioles,0.272,0.141,15.1,5.0,-17.2,AL,69,93,N,N,N,N,False
2000,Twins,0.27,0.137,3.3,4.9,-64.5,AL,69,93,N,N,N,N,False
2000,Cubs,0.256,0.156,15.8,4.1,47.8,NL,65,97,N,N,N,N,False
2013,Athletics,0.254,0.165,27.8,4.4,-12.5,AL,96,66,Y,N,N,N,True
1988,Yankees,0.263,0.132,20.7,4.6,-54.5,AL,85,76,N,,N,N,False
1993,Astros,0.267,0.142,29.4,4.6,72.4,NL,85,77,N,,N,N,False
2011,Brewers,0.261,0.164,26.9,4.6,43.4,NL,96,66,Y,N,N,N,True
2014,Dodgers,0.265,0.14,32.0,5.1,25.7,NL,94,68,Y,N,N,N,True
1997,Twins,0.27,0.139,12.7,5.3,-22.3,AL,68,94,N,N,N,N,False
1998,Athletics,0.257,0.14,8.6,4.5,-83.0,AL,74,88,N,N,N,N,False
2010,Phillies,0.26,0.153,24.3,4.9,33.5,NL,97,65,Y,N,N,N,True
1999,Expos/Nationals,0.265,0.162,7.6,4.5,5.4,NL,68,94,N,N,N,N,False
1992,Mariners,0.263,0.139,15.3,4.0,-65.0,AL,64,98,N,,N,N,False
1994,Brewers,0.263,0.145,11.2,4.2,20.8,AL,53,62,,,,,False
2004,Reds,0.25,0.168,15.6,4.4,25.6,NL,76,86,N,N,N,N,False
1998,Reds,0.262,0.14,18.3,4.4,52.5,NL,77,85,N,N,N,N,False
2010,Devil Rays/Rays,0.247,0.156,31.2,5.6,8.7,AL,96,66,Y,N,N,N,True
1995,Blue Jays,0.26,0.149,5.5,4.5,-75.1,AL,56,88,N,N,N,N,False
2006,Diamondbacks,0.267,0.157,10.8,4.6,12.3,NL,76,86,N,N,N,N,False
2007,Cardinals,0.274,0.132,18.0,3.4,40.6,NL,78,84,N,N,N,N,False
2005,Marlins,0.272,0.137,18.2,4.5,2.5,NL,83,79,N,N,N,N,False
2002,Expos/Nationals,0.261,0.157,13.2,4.7,-12.7,NL,83,79,N,N,N,N,False
2009,White Sox,0.258,0.153,7.7,4.3,-48.2,AL,79,83,N,N,N,N,False
2007,Blue Jays,0.259,0.16,16.2,3.9,-0.8,AL,83,79,N,N,N,N,False
2007,Dodgers,0.275,0.131,16.8,4.8,-1.5,NL,82,80,N,N,N,N,False
1992,White Sox,0.261,0.122,26.9,5.0,17.8,AL,86,76,N,,N,N,False
1987,Giants,0.26,0.17,26.1,4.5,56.3,NL,90,72,Y,,N,N,True
1993,Cubs,0.27,0.143,26.6,4.5,82.3,NL,84,78,N,,N,N,False
1996,Padres,0.265,0.137,20.3,4.2,17.4,NL,91,71,Y,N,N,N,True
1989,Yankees,0.269,0.122,24.4,4.4,0.0,AL,74,87,N,,N,N,False
1989,Rangers,0.263,0.132,20.5,4.9,-21.5,AL,83,79,N,,N,N,False
2003,Brewers,0.256,0.163,9.6,4.4,-26.6,NL,68,94,N,N,N,N,False
1990,Mets,0.256,0.152,26.4,4.6,4.9,NL,91,71,N,,N,N,False
2005,Rockies,0.267,0.144,10.3,4.1,30.5,NL,67,95,N,N,N,N,False
2009,Cardinals,0.263,0.152,22.7,4.3,30.9,NL,91,71,Y,N,N,N,True
2014,Blue Jays,0.259,0.155,24.4,4.2,-21.3,AL,83,79,N,N,N,N,False
1989,Blue Jays,0.26,0.138,21.9,5.1,-18.7,AL,89,73,Y,,N,N,True
2010,Diamondbacks,0.25,0.166,21.5,4.5,78.0,NL,65,97,N,N,N,N,False
1996,Tigers,0.256,0.165,0.2,4.1,-97.7,AL,53,109,N,N,N,N,False
2013,Angels,0.264,0.15,25.6,4.5,-24.0,AL,78,84,N,N,N,N,False
