Year,Team,AVG,ISO,WAR,Spd,Def,lgID,W,L,DivWin,WCWin,LgWin,WSWin,playoffs
1990,Angels,0.26,0.131,16.3,3.8,-63.1,AL,80,82,N,,N,N,False
2013,Rockies,0.27,0.149,14.6,5.0,24.5,NL,74,88,N,N,N,N,False
2013,Indians,0.255,0.155,19.7,4.6,-59.0,AL,92,70,N,Y,N,N,True
2012,Expos/Nationals,0.261,0.166,24.8,4.6,39.3,NL,98,64,Y,N,N,N,True
1991,Athletics,0.248,0.141,24.1,4.7,-0.6,AL,84,78,N,,N,N,False
2013,Devil Rays/Rays,0.257,0.151,28.9,3.7,15.1,AL,92,71,N,Y,N,N,True
1992,Rangers,0.25,0.142,14.7,3.8,-70.9,AL,77,85,N,,N,N,False
1991,Royals,0.264,0.129,14.7,4.8,-48.9,AL,82,80,N,,N,N,False
1997,Pirates,0.262,0.142,6.5,5.7,-51.4,NL,79,83,N,N,N,N,False
2011,Rockies,0.258,0.152,13.5,5.0,25.6,NL,73,89,N,N,N,N,False
1995,Tigers,0.247,0.157,3.2,4.2,-72.6,AL,60,84,N,N,N,N,False
1987,Royals,0.262,0.15,14.5,5.0,-27.8,AL,83,79,N,,N,N,False
2015,Tigers,0.27,0.15,20.9,4.6,-2.5,AL,74,87,N,N,N,N,False
1998,Tigers,0.264,0.152,16.6,4.6,38.9,AL,65,97,N,N,N,N,False
2009,Diamondbacks,0.253,0.165,16.1,5.0,34.7,NL,70,92,N,N,N,N,False
1991,Braves,0.258,0.135,14.3,5.0,-62.3,NL,94,68,Y,,Y,N,True
1995,Padres,0.272,0.125,10.0,4.7,-53.0,NL,70,74,N,N,N,N,False
1993,Athletics,0.254,0.14,14.9,4.3,-60.4,AL,68,94,N,,N,N,False
1987,Orioles,0.258,0.16,14.0,3.6,-30.6,AL,67,95,N,,N,N,False
2005,Blue Jays,0.265,0.142,19.1,4.6,13.6,AL,80,82,N,N,N,N,False
2013,Orioles,0.26,0.171,26.8,3.9,29.7,AL,85,77,N,N,N,N,False
2002,Marlins,0.261,0.142,19.1,4.9,1.7,NL,79,83,N,N,N,N,False
2012,Diamondbacks,0.259,0.159,20.7,4.6,36.0,NL,81,81,N,N,N,N,False
2003,Angels,0.268,0.144,20.2,4.7,27.1,AL,77,85,N,N,N,N,False
2005,Athletics,0.262,0.145,23.0,3.3,13.7,AL,88,74,N,N,N,N,False
2006,Royals,0.271,0.14,18.3,4.5,37.7,AL,62,100,N,N,N,N,False
2015,Yankees,0.251,0.17,20.9,3.9,-35.1,AL,87,75,N,Y,N,N,True
1997,Expos/Nationals,0.258,0.167,17.9,4.2,64.2,NL,78,84,N,N,N,N,False
1986,Mariners,0.253,0.145,4.1,4.3,-111.5,AL,67,95,N,,N,N,False
1991,Orioles,0.254,0.147,22.3,3.6,14.6,AL,67,95,N,,N,N,False
2001,Marlins,0.264,0.159,21.2,4.5,52.7,NL,76,86,N,N,N,N,False
1986,Orioles,0.258,0.137,17.1,3.4,-28.8,AL,73,89,N,,N,N,False
2013,Rangers,0.262,0.15,21.6,4.8,18.3,AL,91,72,N,N,N,N,False
2003,Diamondbacks,0.263,0.153,7.7,4.6,-6.9,NL,84,78,N,N,N,N,False
2010,Royals,0.274,0.126,10.4,4.4,-69.5,AL,67,95,N,N,N,N,False
1989,Athletics,0.261,0.12,27.4,4.7,-1.4,AL,99,63,Y,,Y,Y,True
2014,Orioles,0.256,0.166,28.7,3.6,41.9,AL,96,66,Y,N,N,N,True
1991,Reds,0.258,0.145,23.4,4.6,26.2,NL,74,88,N,,N,N,False
2006,Mariners,0.272,0.153,19.7,5.0,26.5,AL,78,84,N,N,N,N,False
1996,Astros,0.262,0.135,22.2,5.2,50.4,NL,82,80,N,N,N,N,False
1996,Pirates,0.266,0.141,10.6,4.9,-3.6,NL,73,89,N,N,N,N,False
2002,Braves,0.26,0.15,20.5,4.1,60.4,NL,101,59,Y,N,N,N,True
1991,Blue Jays,0.257,0.143,19.8,5.2,3.0,AL,91,71,Y,,N,N,True
2006,Brewers,0.258,0.162,15.9,3.9,47.7,NL,75,87,N,N,N,N,False
1996,Royals,0.267,0.132,6.4,5.4,-19.7,AL,75,86,N,N,N,N,False
2003,Athletics,0.254,0.162,12.7,3.9,-49.1,AL,96,66,Y,N,N,N,True
2013,Cardinals,0.269,0.133,21.3,3.8,-6.4,NL,97,65,Y,N,Y,N,True
1995,Mets,0.267,0.133,14.5,4.2,12.9,NL,69,75,N,N,N,N,False
1990,Reds,0.265,0.134,20.3,5.2,17.0,NL,91,71,Y,,Y,Y,True
2008,Astros,0.263,0.152,23.7,4.4,90.4,NL,86,75,N,N,N,N,False
2002,Reds,0.253,0.155,16.6,4.3,36.4,NL,78,84,N,N,N,N,False
2001,Dodgers,0.255,0.17,18.2,4.4,9.0,NL,86,76,N,N,N,N,False
1995,Dodgers,0.264,0.136,18.2,5.0,11.1,NL,78,66,Y,N,N,N,True
1996,Cardinals,0.267,0.14,24.8,5.0,121.8,NL,88,74,Y,N,N,N,True
2008,Blue Jays,0.264,0.135,16.1,4.4,10.3,AL,86,76,N,N,N,N,False
2015,Dodgers,0.25,0.163,27.4,3.8,33.5,NL,92,70,Y,N,N,N,True
2007,Pirates,0.263,0.149,12.5,4.2,16.8,NL,68,94,N,N,N,N,False
2011,Reds,0.256,0.152,28.7,4.1,71.0,NL,79,83,N,N,N,N,False
2010,Cardinals,0.263,0.139,23.1,4.0,35.6,NL,86,76,N,N,N,N,False
1987,Phillies,0.254,0.157,19.6,4.9,57.9,NL,80,82,N,,N,N,False
1994,Athletics,0.26,0.14,11.6,4.5,12.2,AL,51,63,,,,,False
1999,Padres,0.252,0.141,17.6,4.7,61.1,NL,74,88,N,N,N,N,False
1993,Red Sox,0.264,0.131,17.1,4.1,50.8,AL,80,82,N,,N,N,False
2011,Diamondbacks,0.25,0.163,29.0,5.1,99.4,NL,94,68,Y,N,N,N,True
2006,Astros,0.255,0.154,19.7,4.2,74.7,NL,82,80,N,N,N,N,False
2012,White Sox,0.255,0.167,19.0,4.7,-2.2,AL,85,77,N,N,N,N,False
1986,Phillies,0.253,0.147,20.9,5.2,20.0,NL,86,75,N,,N,N,False
1996,Expos/Nationals,0.262,0.144,16.8,4.8,44.8,NL,88,74,N,N,N,N,False
2008,Dodgers,0.264,0.134,13.9,4.7,-9.8,NL,84,78,Y,N,N,N,True
1988,Mariners,0.257,0.141,14.2,4.2,-33.9,AL,68,93,N,,N,N,False
1995,Royals,0.26,0.136,11.0,5.0,22.9,AL,70,74,N,N,N,N,False
2001,Padres,0.252,0.147,17.7,4.9,-7.1,NL,79,83,N,N,N,N,False
1998,Brewers,0.26,0.136,16.5,3.7,55.2,NL,74,88,N,N,N,N,False
2015,Red Sox,0.265,0.149,18.8,4.3,-10.0,AL,78,84,N,N,N,N,False
1988,Mets,0.256,0.14,29.9,4.6,7.6,NL,100,60,Y,,N,N,True
2000,Devil Rays/Rays,0.257,0.142,7.4,4.1,-2.5,AL,69,92,N,N,N,N,False
2015,Rockies,0.265,0.167,9.5,5.1,6.7,NL,68,94,N,N,N,N,False
1990,Giants,0.262,0.134,23.4,4.5,8.8,NL,85,77,N,,N,N,False
2003,Cubs,0.259,0.157,16.8,4.0,50.9,NL,88,74,Y,N,N,N,True
2000,Padres,0.254,0.148,15.3,5.0,31.0,NL,76,86,N,N,N,N,False
2014,Angels,0.259,0.147,30.0,4.4,3.6,AL,98,64,Y,N,N,N,True
1996,Mets,0.27,0.143,25.2,5.0,120.2,NL,71,91,N,N,N,N,False
2001,Phillies,0.26,0.154,22.9,5.1,81.8,NL,86,76,N,N,N,N,False
2001,Reds,0.262,0.157,9.4,4.2,-7.2,NL,66,96,N,N,N,N,False
2004,Marlins,0.264,0.143,18.2,4.5,30.1,NL,83,79,N,N,N,N,False
2015,Rangers,0.257,0.156,22.4,4.7,4.4,AL,88,74,Y,N,N,N,True
2009,Athletics,0.262,0.135,15.5,4.7,-20.3,AL,75,87,N,N,N,N,False
2009,Mets,0.27,0.124,15.0,5.1,1.0,NL,70,92,N,N,N,N,False
2000,Phillies,0.251,0.148,11.8,4.8,51.5,NL,65,97,N,N,N,N,False
1990,Indians,0.267,0.124,17.9,4.9,-0.3,AL,77,85,N,,N,N,False
1989,White Sox,0.271,0.112,15.7,4.4,-49.5,AL,69,92,N,,N,N,False
2001,Brewers,0.251,0.175,14.5,4.1,31.8,NL,68,94,N,N,N,N,False
2002,Indians,0.249,0.163,10.4,3.9,-50.4,AL,74,88,N,N,N,N,False
2013,Blue Jays,0.252,0.158,16.6,4.4,-46.6,AL,74,88,N,N,N,N,False
1994,Cubs,0.259,0.145,10.8,4.4,35.7,NL,49,64,,,,,False
1990,Mariners,0.259,0.114,20.7,4.0,31.2,AL,77,85,N,,N,N,False
1995,Giants,0.253,0.151,25.4,5.3,112.3,NL,67,77,N,N,N,N,False
2004,Blue Jays,0.26,0.143,12.7,4.0,26.4,AL,67,94,N,N,N,N,False
1994,Marlins,0.266,0.13,13.6,4.3,49.5,NL,51,64,,,,,False
2007,Diamondbacks,0.25,0.163,10.0,5.1,34.1,NL,90,72,Y,N,N,N,True
2006,Cubs,0.268,0.154,13.7,5.0,65.3,NL,66,96,N,N,N,N,False
2011,Orioles,0.257,0.156,10.2,3.9,-63.0,AL,69,93,N,N,N,N,False
2005,Mets,0.258,0.158,18.1,5.1,13.2,NL,83,79,N,N,N,N,False
2010,Giants,0.257,0.151,26.3,3.9,94.2,NL,92,70,Y,N,Y,Y,True
2006,Giants,0.259,0.163,15.7,4.7,73.5,NL,76,85,N,N,N,N,False
2007,Padres,0.251,0.16,15.8,4.0,-16.6,NL,89,74,N,N,N,N,False
2002,Cubs,0.246,0.167,17.2,4.1,27.5,NL,67,95,N,N,N,N,False
1987,White Sox,0.258,0.158,23.0,5.2,78.7,AL,77,85,N,,N,N,False
1997,Brewers,0.26,0.138,13.2,4.4,32.0,AL,78,83,N,N,N,N,False
1990,Rangers,0.259,0.117,19.1,4.5,-1.8,AL,83,79,N,,N,N,False
1987,Angels,0.252,0.148,19.3,4.8,19.4,AL,75,87,N,,N,N,False
1993,Reds,0.264,0.132,13.5,4.9,-17.3,NL,73,89,N,,N,N,False
2011,Devil Rays/Rays,0.244,0.159,29.4,5.2,43.7,AL,91,71,N,Y,N,N,True
2011,Mets,0.264,0.127,19.3,5.1,-39.9,NL,77,85,N,N,N,N,False
1989,Orioles,0.252,0.127,21.9,4.6,-3.6,AL,87,75,N,,N,N,False
1994,Padres,0.275,0.126,2.4,4.3,-63.2,NL,47,70,,,,,False
1992,Brewers,0.268,0.107,19.5,5.5,-5.9,AL,92,70,N,,N,N,False
1995,Phillies,0.262,0.122,14.9,4.3,41.6,NL,69,75,N,N,N,N,False
1993,Angels,0.26,0.12,6.7,4.5,-59.6,AL,71,91,N,,N,N,False
1992,Indians,0.266,0.117,19.2,4.4,-0.6,AL,76,86,N,,N,N,False
1991,Mariners,0.255,0.128,12.1,4.4,-53.4,AL,83,79,N,,N,N,False
2000,Brewers,0.246,0.158,11.7,4.0,67.0,NL,73,89,N,N,N,N,False
1992,Reds,0.26,0.122,20.5,4.7,10.5,NL,90,72,N,,N,N,False
2011,Blue Jays,0.249,0.164,15.5,5.1,-42.2,AL,81,81,N,N,N,N,False
1993,Twins,0.264,0.121,5.5,4.0,-63.3,AL,71,91,N,,N,N,False
1987,Pirates,0.264,0.138,26.6,5.0,114.4,NL,80,82,N,,N,N,False
2015,Diamondbacks,0.264,0.15,24.3,5.3,53.8,NL,79,83,N,N,N,N,False
2008,Reds,0.247,0.161,10.2,3.9,5.0,NL,74,88,N,N,N,N,False
1990,Twins,0.265,0.12,12.4,4.6,-25.0,AL,74,88,N,,N,N,False
1998,Royals,0.263,0.136,7.3,5.1,-23.4,AL,72,89,N,N,N,N,False
2005,Angels,0.27,0.139,19.6,5.1,17.0,AL,95,67,Y,N,N,N,True
1988,Royals,0.259,0.131,16.9,5.2,-34.0,AL,84,77,N,,N,N,False
1986,Athletics,0.252,0.138,23.1,4.8,18.4,AL,76,86,N,,N,N,False
1998,Mets,0.259,0.135,17.5,3.6,47.1,NL,88,74,N,N,N,N,False
2010,Marlins,0.254,0.149,18.0,4.9,16.8,NL,80,82,N,N,N,N,False
2015,Giants,0.267,0.139,31.1,4.7,67.6,NL,84,78,N,N,N,N,False
2005,Padres,0.257,0.134,20.3,4.6,17.7,NL,82,80,Y,N,N,N,True
2013,Braves,0.249,0.153,25.8,3.7,52.5,NL,96,66,Y,N,N,N,True
1996,Marlins,0.257,0.136,20.7,4.3,91.2,NL,80,82,N,N,N,N,False
2015,Royals,0.269,0.144,23.7,5.1,38.7,AL,95,67,Y,N,Y,Y,True
1990,Dodgers,0.262,0.121,22.5,4.8,18.3,NL,86,76,N,,N,N,False
2005,Astros,0.256,0.152,18.1,4.7,58.5,NL,89,73,N,Y,Y,N,True
2010,Cubs,0.257,0.145,14.4,3.9,29.3,NL,75,87,N,N,N,N,False
2001,Angels,0.261,0.144,17.8,4.5,22.4,AL,75,87,N,N,N,N,False
2003,Padres,0.261,0.127,22.4,4.0,60.8,NL,64,98,N,N,N,N,False
1994,Phillies,0.262,0.128,7.3,4.8,-3.9,NL,54,61,,,,,False
1989,Royals,0.261,0.112,15.4,5.2,-56.4,AL,92,70,N,,N,N,False
2009,Royals,0.259,0.146,2.0,5.0,-78.6,AL,65,97,N,N,N,N,False
1989,Mariners,0.257,0.126,15.9,4.1,-13.7,AL,73,89,N,,N,N,False
1988,Tigers,0.25,0.128,22.5,4.3,13.7,AL,88,74,N,,N,N,False
1990,Orioles,0.245,0.125,21.1,3.9,18.0,AL,76,85,N,,N,N,False
2001,Braves,0.261,0.152,21.0,4.0,99.8,NL,88,74,Y,N,N,N,True
1995,Pirates,0.259,0.137,6.9,4.2,-9.3,NL,58,86,N,N,N,N,False
2007,Twins,0.264,0.127,14.1,4.8,-0.4,AL,79,83,N,N,N,N,False
1993,Royals,0.263,0.134,11.4,4.2,10.2,AL,84,78,N,,N,N,False
1987,Cardinals,0.263,0.115,22.1,6.2,53.3,NL,95,67,Y,,Y,N,True
2003,Orioles,0.267,0.138,15.4,4.3,-21.2,AL,71,91,N,N,N,N,False
2004,Mariners,0.27,0.127,17.3,4.2,26.1,AL,63,99,N,N,N,N,False
1996,Giants,0.253,0.135,19.0,4.3,71.7,NL,68,94,N,N,N,N,False
2005,Dodgers,0.253,0.142,13.6,3.6,29.0,NL,71,91,N,N,N,N,False
2013,Dodgers,0.264,0.133,27.8,3.9,58.8,NL,92,70,Y,N,N,N,True
1987,Expos/Nationals,0.265,0.135,16.1,5.3,25.5,NL,91,71,N,,N,N,False
1999,Marlins,0.263,0.132,10.8,4.6,44.3,NL,64,98,N,N,N,N,False
1986,Reds,0.254,0.134,17.6,5.2,11.5,NL,86,76,N,,N,N,False
1997,Cardinals,0.255,0.141,20.1,5.2,98.6,NL,73,89,N,N,N,N,False
1998,Twins,0.266,0.123,-4.5,4.6,-122.9,AL,70,92,N,N,N,N,False
1998,Phillies,0.264,0.131,16.0,4.7,69.6,NL,75,87,N,N,N,N,False
2008,Pirates,0.258,0.145,12.5,4.0,11.3,NL,67,95,N,N,N,N,False
2002,Dodgers,0.264,0.146,23.7,4.6,73.4,NL,92,70,N,N,N,N,False
2014,Expos/Nationals,0.253,0.14,25.5,4.7,39.5,NL,96,66,Y,N,N,N,True
1990,Braves,0.25,0.146,11.2,4.3,-24.0,NL,65,97,N,,N,N,False
1988,Angels,0.261,0.124,15.4,4.3,-46.9,AL,75,87,N,,N,N,False
2012,Orioles,0.247,0.17,12.7,3.7,-37.8,AL,93,69,N,Y,N,N,True
1992,Pirates,0.255,0.126,25.1,5.0,43.0,NL,96,66,Y,,N,N,True
2007,White Sox,0.246,0.158,2.9,3.8,-55.7,AL,72,90,N,N,N,N,False
2006,Devil Rays/Rays,0.255,0.165,10.3,4.8,-19.0,AL,61,101,N,N,N,N,False
2002,Royals,0.256,0.143,7.2,5.1,-35.1,AL,62,100,N,N,N,N,False
2014,Twins,0.254,0.135,18.1,4.6,-59.1,AL,70,92,N,N,N,N,False
1993,Expos/Nationals,0.257,0.129,18.4,5.6,16.8,NL,94,68,N,,N,N,False
2003,Expos/Nationals,0.258,0.143,9.6,4.6,21.3,NL,83,79,N,N,N,N,False
1992,Braves,0.254,0.134,25.2,5.1,79.2,NL,98,64,Y,,Y,N,True
1986,Cubs,0.256,0.141,9.9,4.6,-25.5,NL,70,90,N,,N,N,False
1999,Angels,0.256,0.139,9.8,3.8,52.6,AL,70,92,N,N,N,N,False
2012,Red Sox,0.26,0.155,19.2,4.2,15.7,AL,69,93,N,N,N,N,False
1993,Brewers,0.258,0.12,10.9,4.3,5.6,AL,69,93,N,,N,N,False
1989,Cubs,0.261,0.126,20.4,5.1,29.8,NL,93,69,Y,,N,N,True
1989,Brewers,0.259,0.124,13.7,5.1,-56.4,AL,81,81,N,,N,N,False
1996,Cubs,0.251,0.15,21.7,4.5,130.6,NL,76,86,N,N,N,N,False
2001,Tigers,0.26,0.15,11.3,5.6,-52.0,AL,66,96,N,N,N,N,False
1992,Cardinals,0.262,0.113,23.0,5.1,34.9,NL,83,79,N,,N,N,False
1991,Yankees,0.256,0.131,10.6,4.4,-58.0,AL,71,91,N,,N,N,False
1992,Phillies,0.253,0.124,22.3,5.2,14.7,NL,70,92,N,,N,N,False
1986,Brewers,0.255,0.13,6.8,4.6,-73.9,AL,77,84,N,,N,N,False
2013,Reds,0.249,0.142,24.0,3.7,67.1,NL,90,72,N,Y,N,N,True
1999,Twins,0.264,0.12,1.3,4.5,-23.7,AL,63,97,N,N,N,N,False
1997,Cubs,0.263,0.133,13.2,4.8,76.5,NL,68,94,N,N,N,N,False
1989,Giants,0.25,0.14,31.0,4.8,76.2,NL,92,70,Y,,Y,N,True
1990,Brewers,0.256,0.128,14.0,5.0,-45.9,AL,74,88,N,,N,N,False
2015,Indians,0.256,0.144,20.9,4.4,5.6,AL,81,80,N,N,N,N,False
2005,Pirates,0.259,0.141,13.4,4.4,22.8,NL,67,95,N,N,N,N,False
2011,Phillies,0.253,0.142,20.6,4.9,28.9,NL,102,60,Y,N,N,N,True
1995,Expos/Nationals,0.259,0.136,11.0,4.9,28.9,NL,66,78,N,N,N,N,False
2008,Royals,0.269,0.128,7.0,4.3,-29.7,AL,75,87,N,N,N,N,False
2015,Orioles,0.25,0.171,16.8,3.6,-6.3,AL,81,81,N,N,N,N,False
2009,Astros,0.26,0.14,13.1,4.5,36.0,NL,74,88,N,N,N,N,False
2007,Expos/Nationals,0.256,0.134,13.2,4.2,39.1,NL,73,89,N,N,N,N,False
2004,Devil Rays/Rays,0.258,0.147,16.3,5.2,41.6,AL,70,91,N,N,N,N,False
2006,Pirates,0.263,0.134,7.7,4.0,-13.0,NL,67,95,N,N,N,N,False
2015,Expos/Nationals,0.251,0.151,19.4,3.5,19.1,NL,83,79,N,N,N,N,False
2004,Pirates,0.26,0.141,7.8,4.3,2.6,NL,72,89,N,N,N,N,False
1997,Reds,0.253,0.137,10.7,5.0,23.9,NL,76,86,N,N,N,N,False
2002,Mets,0.256,0.139,17.6,4.0,49.4,NL,75,86,N,N,N,N,False
2012,Giants,0.269,0.128,28.3,5.6,55.9,NL,94,68,Y,N,Y,Y,True
2004,Royals,0.259,0.139,1.0,4.0,-47.4,AL,58,104,N,N,N,N,False
2011,Indians,0.25,0.146,13.9,4.4,-58.2,AL,80,82,N,N,N,N,False
2003,Devil Rays/Rays,0.265,0.139,17.6,5.3,30.0,AL,63,99,N,N,N,N,False
2004,Mets,0.249,0.16,11.3,4.5,8.5,NL,71,91,N,N,N,N,False
2001,Royals,0.266,0.143,11.3,4.9,35.8,AL,65,97,N,N,N,N,False
2012,Reds,0.251,0.159,23.2,4.4,65.9,NL,97,65,Y,N,N,N,True
1992,Padres,0.255,0.132,23.5,3.8,75.2,NL,82,80,N,,N,N,False
1990,White Sox,0.258,0.122,19.1,4.9,45.3,AL,94,68,N,,N,N,False
1994,Giants,0.249,0.153,14.6,5.6,64.7,NL,55,60,,,,,False
1996,Phillies,0.256,0.131,11.3,4.8,39.3,NL,67,95,N,N,N,N,False
2013,Diamondbacks,0.259,0.133,21.2,3.8,78.0,NL,81,81,N,N,N,N,False
2011,Cubs,0.256,0.144,14.4,4.5,25.6,NL,71,91,N,N,N,N,False
1986,Padres,0.261,0.126,16.9,3.8,1.3,NL,74,88,N,,N,N,False
1990,Cubs,0.263,0.129,9.6,5.0,-38.7,NL,77,85,N,,N,N,False
1993,Dodgers,0.261,0.122,10.4,4.5,-59.1,NL,81,81,N,,N,N,False
1988,Indians,0.261,0.126,9.2,4.4,-65.4,AL,78,84,N,,N,N,False
1997,Phillies,0.255,0.13,9.7,4.5,48.1,NL,68,94,N,N,N,N,False
2011,Angels,0.253,0.149,22.2,4.8,28.1,AL,86,76,N,N,N,N,False
2015,Cubs,0.244,0.154,26.4,4.4,63.5,NL,97,65,N,Y,N,N,True
2005,Royals,0.263,0.134,2.7,4.0,-87.3,AL,56,106,N,N,N,N,False
2003,Indians,0.254,0.148,13.8,4.2,10.1,AL,68,94,N,N,N,N,False
1990,Padres,0.258,0.123,14.9,4.7,-11.4,NL,75,87,N,,N,N,False
2015,Devil Rays/Rays,0.252,0.154,19.9,4.2,6.4,AL,80,82,N,N,N,N,False
2014,Indians,0.253,0.136,12.7,4.4,-82.4,AL,85,77,N,N,N,N,False
2010,Expos/Nationals,0.25,0.14,15.5,4.5,44.1,NL,69,93,N,N,N,N,False
2010,Athletics,0.256,0.122,20.2,5.1,6.9,AL,81,81,N,N,N,N,False
2009,Reds,0.247,0.147,17.4,4.4,94.3,NL,78,84,N,N,N,N,False
1991,Cubs,0.253,0.138,17.5,4.4,38.5,NL,77,83,N,,N,N,False
2012,Twins,0.26,0.13,15.7,4.9,-22.1,AL,66,96,N,N,N,N,False
2015,Mariners,0.249,0.162,14.5,3.6,-43.7,AL,76,86,N,N,N,N,False
1989,Angels,0.256,0.129,22.2,4.6,30.0,AL,91,71,N,,N,N,False
2015,Pirates,0.26,0.136,21.5,4.4,12.3,NL,98,64,N,Y,N,N,True
2009,Mariners,0.258,0.144,19.7,4.0,75.2,AL,85,77,N,N,N,N,False
2014,Brewers,0.25,0.147,18.9,4.5,46.9,NL,82,80,N,N,N,N,False
1986,Royals,0.252,0.138,11.3,4.6,-15.0,AL,76,86,N,,N,N,False
2014,White Sox,0.253,0.146,12.0,4.3,-61.7,AL,73,89,N,N,N,N,False
2007,Royals,0.261,0.126,14.3,4.9,55.1,AL,69,93,N,N,N,N,False
2005,Giants,0.261,0.135,13.0,4.1,53.1,NL,75,87,N,N,N,N,False
2003,Reds,0.245,0.15,10.3,4.0,21.8,NL,69,93,N,N,N,N,False
1998,Devil Rays/Rays,0.261,0.123,13.6,4.5,71.3,AL,63,99,N,N,N,N,False
2002,Brewers,0.253,0.137,9.9,4.2,33.0,NL,56,106,N,N,N,N,False
1987,Padres,0.26,0.118,20.4,5.4,77.2,NL,65,97,N,,N,N,False
2011,White Sox,0.252,0.136,9.8,3.5,-26.0,AL,79,83,N,N,N,N,False
2005,Twins,0.259,0.132,13.2,4.5,18.6,AL,83,79,N,N,N,N,False
1989,Mets,0.246,0.139,29.0,4.8,65.9,NL,87,75,N,,N,N,False
2013,Pirates,0.245,0.151,23.8,4.6,42.9,NL,94,68,N,Y,N,N,True
2014,Athletics,0.244,0.137,25.0,4.6,0.2,AL,88,74,N,Y,N,N,True
1986,Astros,0.255,0.126,25.5,4.8,68.8,NL,96,66,Y,,N,N,True
2013,Expos/Nationals,0.251,0.146,19.3,4.4,32.9,NL,86,76,N,N,N,N,False
2010,Indians,0.248,0.13,12.2,4.1,-51.9,AL,69,93,N,N,N,N,False
2008,Padres,0.25,0.14,14.6,3.4,8.0,NL,63,99,N,N,N,N,False
2012,Phillies,0.255,0.144,21.3,4.9,52.0,NL,81,81,N,N,N,N,False
1998,Diamondbacks,0.246,0.146,10.4,4.6,54.3,NL,65,97,N,N,N,N,False
1994,Pirates,0.259,0.125,9.6,4.2,52.8,NL,53,61,,,,,False
2012,Devil Rays/Rays,0.24,0.155,21.1,4.9,1.9,AL,90,72,N,N,N,N,False
2011,Marlins,0.247,0.142,16.1,4.2,14.5,NL,72,90,N,N,N,N,False
2013,Brewers,0.252,0.145,16.1,5.1,35.3,NL,74,88,N,N,N,N,False
2012,Blue Jays,0.245,0.161,12.0,4.6,-32.0,AL,73,89,N,N,N,N,False
2012,Royals,0.265,0.135,13.3,5.2,-24.7,AL,72,90,N,N,N,N,False
1993,Padres,0.252,0.137,1.9,4.4,-93.8,NL,61,101,N,,N,N,False
2012,Athletics,0.238,0.166,21.0,5.1,-5.3,AL,94,68,Y,N,N,N,True
1990,Expos/Nationals,0.25,0.12,17.4,5.4,16.9,NL,85,77,N,,N,N,False
1986,Braves,0.25,0.131,7.4,3.6,-10.9,NL,72,89,N,,N,N,False
2015,Cardinals,0.253,0.142,22.3,4.2,46.1,NL,100,62,Y,N,N,N,True
1986,Expos/Nationals,0.254,0.124,18.3,5.3,22.3,NL,78,83,N,,N,N,False
1991,Angels,0.255,0.118,8.2,4.3,-44.0,AL,81,81,N,,N,N,False
2002,Orioles,0.246,0.157,13.5,4.6,5.0,AL,67,95,N,N,N,N,False
1994,Mets,0.25,0.144,7.2,3.5,13.5,NL,55,58,,,,,False
1988,Rangers,0.252,0.117,16.3,4.8,8.6,AL,70,91,N,,N,N,False
2008,Mariners,0.265,0.124,8.9,4.2,-36.2,AL,61,101,N,N,N,N,False
1991,Dodgers,0.253,0.106,19.5,4.5,9.4,NL,93,69,N,,N,N,False
2008,Expos/Nationals,0.251,0.122,8.5,4.1,29.8,NL,59,102,N,N,N,N,False
2010,Angels,0.248,0.142,13.5,4.3,-23.7,AL,80,82,N,N,N,N,False
2010,Orioles,0.259,0.127,7.5,3.8,-23.9,AL,66,96,N,N,N,N,False
2009,Pirates,0.252,0.135,14.8,4.6,66.3,NL,62,99,N,N,N,N,False
2012,Indians,0.251,0.131,10.3,4.2,-70.0,AL,68,94,N,N,N,N,False
2012,Braves,0.247,0.142,25.7,4.6,104.2,NL,94,68,N,Y,N,N,True
1986,Pirates,0.25,0.123,20.6,4.6,66.5,NL,64,98,N,,N,N,False
1990,Phillies,0.255,0.108,21.3,4.5,64.2,NL,77,85,N,,N,N,False
2007,Giants,0.254,0.133,10.5,5.0,60.6,NL,71,91,N,N,N,N,False
2009,Padres,0.242,0.138,15.9,4.2,27.5,NL,75,87,N,N,N,N,False
2008,Giants,0.262,0.12,10.5,4.7,55.5,NL,72,90,N,N,N,N,False
2005,Expos/Nationals,0.252,0.134,16.6,3.5,78.8,NL,81,81,N,N,N,N,False
2010,Dodgers,0.252,0.127,13.6,4.3,1.1,NL,80,82,N,N,N,N,False
1989,Padres,0.251,0.118,14.4,4.5,-40.2,NL,89,73,N,,N,N,False
2015,Mets,0.244,0.156,23.7,3.6,39.7,NL,90,72,Y,N,Y,N,True
1998,Expos/Nationals,0.249,0.145,12.5,4.3,71.3,NL,65,97,N,N,N,N,False
2001,Devil Rays/Rays,0.258,0.13,6.4,4.4,-41.0,AL,62,100,N,N,N,N,False
1986,Giants,0.253,0.122,26.3,4.7,97.7,NL,83,79,N,,N,N,False
2004,Brewers,0.248,0.139,9.8,4.8,36.7,NL,67,94,N,N,N,N,False
2002,Padres,0.253,0.129,13.1,3.9,12.0,NL,66,96,N,N,N,N,False
1992,Expos/Nationals,0.253,0.118,21.8,5.5,36.9,NL,87,75,N,,N,N,False
2005,Mariners,0.256,0.136,13.7,4.6,-3.2,AL,69,93,N,N,N,N,False
2001,Mets,0.249,0.137,12.1,3.5,37.9,NL,82,80,N,N,N,N,False
